node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
ABL1,17622,0.5469334634781194,0.013272072361081815,0.07452869987098121,0.00311278965327233,65.86847074808296
DDIT3,3450,0.4929618768328446,0.0009830162153038713,0.02611272191485318,0.00011895354543689507,7.077908561590808
FOXO3,4648,0.5019908421262194,0.0012108712197232568,0.035063065403170945,0.00014846559445302887,9.675307747415065
MYBL2,990,0.441574361893087,3.6973581919149735e-05,0.004594888566498503,0.0001644756007621595,0.5027634448028399
GSK3A,4474,0.5010183299389002,0.0008586025953607576,0.03204808047921418,7.545264358732595e-05,8.058130661949924
CDK5R1,2892,0.4923602636075177,0.001143424210670821,0.02208649247474685,0.00017867044214270322,6.948198330145895
ATF4,4072,0.5000247880620693,0.0015996554802615644,0.029885206599024675,8.718084030689965e-05,9.00731731078195
SRPK2,762,0.4468961850325668,0.0005073754005758503,0.005500723614368744,0.00013492056256225737,1.257594204096792
RHOA,7506,0.5216986499767238,0.005003332177742872,0.0502427231984966,0.00030875209356473476,21.865532919994603
CDK5,5982,0.5176023811967566,0.00472352513156274,0.042003999003541855,0.00016421410372480238,18.378894107354093
POU4F1,2280,0.47785094992182686,0.00022443388597717635,0.017848230937917594,8.861761784295652e-05,3.440985663531814
CASP1,1656,0.4658230186587844,0.00010823939055155224,0.012228215989519694,0.00017538838069874885,2.5071050791300395
FASLG,1974,0.47776040926531194,0.00011932334199254498,0.016867716068042892,0.00014995563804554024,3.3365557372945704
ITGA1,2394,0.477964174011942,0.00019732713252511002,0.017377378701510737,0.00013495003412700157,3.7210190809748576
TNF,14516,0.5373182036119546,0.006800341120345479,0.07205925235483329,0.002396766973618014,46.41715934436944
BAX,6854,0.5129952698235085,0.0022079285196592684,0.04222248475024484,0.00040438617334004334,15.723663597342505
NQO1,3092,0.4905880636217715,0.0012053581119026715,0.02439835279965061,0.00011069599421631438,6.966715132309355
CTNNB1,15516,0.5355493017575532,0.007586914126700114,0.06592891320445297,0.0027397002960078964,50.10414954802444
CCL3,4598,0.4982955387579665,0.0011742801921248473,0.03105765584594017,7.409580677020244e-05,8.55803671509217
MAP2K4,4020,0.4823760103304797,0.00016279207081159908,0.022433323523151284,0.0001798172890037364,5.675300259115913
PCSK9,1590,0.482745417125353,0.0002600179930874102,0.017822853261449285,0.00018462392907814262,3.7904641530125027
NR3C1,1736,0.47519434628975266,0.00038597122705920773,0.015328855813991769,0.0001243030685973423,3.2880992690404827
EPHA7,4614,0.48140900195694714,0.00040640382274698323,0.0203778900529992,0.000275030878921001,6.904749238360696
NUPR1,5106,0.4986157801067827,0.0008932438691211062,0.03053168715247,0.00016103820315649386,8.884617910215145
ATF2,5760,0.5072675149625308,0.0015271185738463086,0.036758152040092,0.00023840428316646012,11.895801211036652
ASCL1,3242,0.49674940898345155,0.0008642509392651891,0.02425432129962233,0.00013218014304072767,6.677953583829229
CASP3,10458,0.5194952356425444,0.0038530779050824386,0.0496700068599657,0.0012366912834895771,27.659467331382984
BACE1,1296,0.4638307656932628,0.00013174032577517627,0.009023901402795895,0.00018585742375520908,1.985744882996874
ATM,10994,0.5157760163641012,0.005426212003074936,0.03860464875328374,0.001322999742585651,30.23763654527295
CASP2,2546,0.48232987422887474,0.000259389279015425,0.01660386265269653,0.00013189942859703763,3.9235223697029356
BCL2L11,5126,0.49878838830918354,0.0008413947789633236,0.032928474184537856,0.000223669742894117,9.484540586202568
APP,9960,0.5354924342978498,0.009657058176351237,0.0592795807372982,0.0009325987409933845,37.67112429382176
CDC34,1330,0.4663399297207324,0.00024238839638900632,0.008995602808902046,0.00020926408225818705,2.421171479025352
TFAP2B,2624,0.4815928950007162,0.000526660724049163,0.017970938280709236,0.0001093855645528663,4.4663609104139015
MAP2K7,4880,0.48916048304961446,0.0005322274660065451,0.02463997138859931,0.00022606740123087832,7.6305619459511025
TFAP2A,2248,0.47701475595913734,0.00035020979078305095,0.0182841690050163,0.00016637350481296664,4.202144334552653
PAK3,2210,0.4769019811811433,0.00035766911751086824,0.016947174600994312,0.000155913768164595,3.9709148875696636
GRN,2468,0.4737880496054115,7.710642899383902e-05,0.016799835689685454,6.0654236484936064e-05,2.899351952801513
CASP9,4232,0.4900874635568513,0.00029015732826795376,0.023125361468633157,0.00014431460232167126,6.0593694910817995
GRIK5,1144,0.4673122364824167,0.00015470490291624768,0.010161589474103545,0.00018356386992834928,2.114158250698472
PITX3,1522,0.474412041392286,0.00017835670096255732,0.015876885057877006,0.00017065897060319912,3.107280617162533
CDC42,4174,0.5008939213349225,0.0021327041595146892,0.03339489550678213,3.0985717877740626e-05,10.116618884922032
MAP3K11,2620,0.46610286981838345,2.6650972005887634e-05,0.014766252622567953,2.15082643606479e-06,2.1287777614489887
