node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
GPNMB,820,0.4611734861652652,7.538021752248767e-05,0.010347625108123116,0.00017944004267533842,1.4836315023683277
HAND2,3796,0.48654408484908557,0.0002017618375202262,0.029226671617005873,1.2172101492069487e-05,4.890640647528934
CST3,74,0.40866705519940055,2.6039647825872373e-06,0.0018837139590650706,3.646347465746658e-05,-2.197542816836478
THBS4,2020,0.4808012537956705,0.00034228376637117787,0.02027486571820725,0.00017962683882188912,4.201545705491019
TP53,21468,0.5412692286486188,0.011576127094628099,0.06676634817314699,0.0039006347284100684,70.22946291851451
DDR2,6638,0.49890735376327694,0.0006194172876700847,0.03431816861580468,0.000539835617148654,12.095343862689308
B2M,1954,0.4867370717437652,0.00042290981353332384,0.017034448989508913,0.00021132185717043228,4.310003384672794
STAT5B,2388,0.48637534680935396,0.0002957169728128243,0.02172794208889467,0.00016955012788244517,4.543235699119091
PRR7,480,0.4411540017076349,1.1783505195360667e-05,0.004419134564629342,0.0001301619889506611,-0.2772346192592141
IL7R,1520,0.4741595826893354,0.00018508294922577867,0.013920206277497028,0.00023364550697557718,3.1745072021774656
CDK6,2526,0.48651997224700166,0.00041337490430353027,0.02000392769175,0.0001592718747414068,4.576392198757813
ZBTB1,3502,0.4739764387794515,0.00015694226497532557,0.013368193548341132,6.214996627562641e-06,2.5752401055215572
ADA,2546,0.48574962889658585,0.0004072416494747744,0.021609123277308823,0.00022318813454091924,5.211347650140636
FZD8,460,0.43765324773750613,2.732368514688277e-06,0.006563134543896345,0.00010375143748753146,-0.33880462348755513
PSMB11,228,0.41369574378423934,0.0,0.0023307076843974875,7.467737453836776e-05,-1.670784417184867
RIPK3,2448,0.48531738184694484,0.0005450368024292908,0.018890729701210755,0.00020251616400379646,4.939275468870078
BCL2,15030,0.5372995457282032,0.006824007774751096,0.06717700481147808,0.0019473537199488078,43.24138675281026
GLI3,8818,0.5087846592381446,0.0013175066160322235,0.04121393066434295,0.000765513089266534,17.316116963915572
RPS6,908,0.4691068953982893,0.0005602726435772479,0.00838140484642591,0.00021691245583177476,2.6411301334915755
CTNNB1,15228,0.5377410166520596,0.007844976205782856,0.06499390275512032,0.0021106266195367596,46.183921625837364
ZFP36L2,2462,0.48688191241382733,0.0002070166541235797,0.02299318979278216,0.00013787100524353946,4.343283699579478
ADAM17,3828,0.49928796663615094,0.0008315929126641495,0.0263838358134845,0.00011651886054764304,6.776104031094261
GBA1,3846,0.5055358154384881,0.0012927924557978173,0.030359508013701426,0.00010786891626679562,8.126062484063581
BCL11B,1308,0.46579047257544126,0.00010676084814087637,0.010822209405618387,0.00016921515983447932,1.909760746685027
IL2RG,558,0.45624390017195704,3.554110190120227e-05,0.006613543150897648,0.00014985272999545884,0.5185462849543196
FZD7,1956,0.4816268459009959,0.00024745214793331713,0.01781253556343897,0.0001966203100813857,3.863345037734027
TESPA1,258,0.4257524503426143,3.837487189490974e-06,0.002861018839314652,8.273441370221235e-05,-1.2734982882102355
MR1,228,0.41369574378423934,0.0,0.0023307076843974875,7.467737453836776e-05,-1.670784417184867
DNAJA3,3484,0.4980215097402597,0.0006592349987382661,0.025454747143086997,0.00012966904762556908,6.224635350997789
MAFB,1668,0.474962504233393,0.00027750221729576,0.015482971463804044,0.0002221950461009925,3.5354666316452175
FADD,2578,0.4877285373608903,0.0004782149530464543,0.021459958704407908,0.00017120602322862055,4.999323923564505
SHH,12004,0.5228761651131825,0.0037932182236874246,0.05303074100245436,0.001389841780419232,29.94124709399476
RAG2,430,0.4373997504901087,1.6507594782171048e-05,0.004737571074735462,0.0001214482270270878,-0.40753510819803984
LIG4,6890,0.4997454693545103,0.0012368165561397852,0.02705883058329678,0.00041190836315863066,11.634083995793866
ZFP36L1,9154,0.5112488282470576,0.0013477190321796073,0.04243885078796635,0.0009188604290848446,18.89661232748812
WNT1,4612,0.5048338990023655,0.0012445449893926858,0.03536668782659775,1.6607992305850416e-05,8.363949945989889
PRKDC,6178,0.5124230086647875,0.002232223154817978,0.030376035503446922,0.00012815082635242447,11.533053076131282
JMJD6,2062,0.47036557903310816,0.0003354013542633496,0.011971482848907663,0.00018863508152300312,3.1464026677867403
FZD5,1478,0.47759669180248115,0.0002863091901540499,0.016455049851072275,0.00022590208512518473,3.6263857020468646
NKAP,802,0.4452961988569355,1.1708311058634075e-05,0.00650899003416036,0.00015109554209757903,0.3902192069201119
NCAPH2,270,0.4184212769584861,7.12973225696693e-05,0.002422518872422691,9.565419456869506e-05,-1.2514817525126922
RAG1,2428,0.4797439280652886,0.0004411674117043464,0.015864366998707684,0.00018672571466815668,4.171626529136588
RABL3,420,0.4292522955837341,1.25010781899743e-05,0.003874914090779215,0.00012462708808058665,-0.6640487385213173
BRAF,8902,0.5076533250594684,0.0019662349325794415,0.04085442551524537,0.0007196543303731318,18.136189474095104
SIRT2,4420,0.5074171706207681,0.0018773744631997399,0.03185102262637233,3.356529306763889e-05,9.183800390923986
PRKAA1,5276,0.5095769530236179,0.0026732840021548906,0.033903081947271894,9.81229318597343e-06,11.236138003069694
RGS19,206,0.4062655189538156,6.312887688264485e-05,0.0020674314731248824,0.00010354225958408847,-1.5418944136399235
NRBF2,296,0.4325241221306781,2.763052053755338e-05,0.004199427599720681,0.00012453981357651855,-0.6077451147780732
RAB12,1062,0.45711491897932577,7.783845707250266e-05,0.008101198071331639,0.0002113858313190775,1.5381299259327144
PRKAA2,3084,0.4957329697520578,0.0012123580176621217,0.02250588097589282,0.00025596288968365855,7.543889956303678
PHF23,576,0.4365827626078449,2.5368384122650265e-05,0.004430995131198293,0.00015763923178901962,-0.08611236482427989
TM9SF1,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
SMCR8,1336,0.4725163650365807,0.00011746537085633295,0.008847291898508518,0.00022593147229699184,2.2901712115507467
GPR137,644,0.44859257905318956,3.19454462217947e-05,0.0050906439619658825,0.00017958683696051025,0.4552582753570247
TMEM39A,248,0.42086084197890766,3.8736365989070115e-05,0.0022972906205401783,0.00010893072649409419,-1.1877175176572834
ATG10,264,0.42446385333794534,2.6775735519461496e-05,0.0033182541162465403,0.0001166898028372998,-0.9537572517585136
USP10,1140,0.45983418427092604,0.00014725907900995887,0.007288160338445012,0.00024545160249545006,1.9307822323848622
VPS18,458,0.4412531463502337,0.00011327966520503733,0.004381083367521746,0.0001679995778189891,0.1709195937140366
SRPX,308,0.4363305035779368,3.4368857989716357e-05,0.004621332349345974,0.00012700505906515502,-0.44334113626846705
ATG4A,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
RMC1,540,0.4344189751305425,1.2856405929621126e-05,0.0037683921807536223,0.0001617812424097309,-0.21846340178772572
GRAMD1A,156,0.40951943934590357,6.873786650235661e-06,0.0020501308809940323,7.709280288459297e-05,-1.8030122235127497
RAB24,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
SBF2,792,0.4456803014482226,0.0001254076092258113,0.005373839631938569,0.00021478023804277768,0.9442048784232643
LRSAM1,994,0.44951691927286047,9.365687543810206e-05,0.005460560124107592,0.0002330350115418156,1.2347525315966026
RAB39B,940,0.4524171620812019,6.517342875049738e-05,0.005760836567226842,0.00021504134210736936,1.1115475098534047
ATG4B,278,0.42413375961289207,2.7397873804656075e-05,0.00324575040135194,0.00012076382770409566,-0.9289323227857771
DEPP1,540,0.4344189751305425,1.2856405929621126e-05,0.0037683921807536223,0.0001617812424097309,-0.21846340178772572
RUBCN,774,0.45514395660438595,0.00016790140734669433,0.006513565523922251,0.00021083587437153994,1.30590535583881
FNBP1L,228,0.4148670920846892,0.00011597316071793226,0.0021720238168665444,0.00011380173681807548,-1.164314562764536
WDR24,1240,0.4694882831181253,0.00017207507974207524,0.009991692456498917,0.00024129447962373263,2.506751835326133
TECPR2,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
OPTN,440,0.4392786826561661,4.065878924161258e-05,0.0045978960112711955,0.00013913175139812495,-0.20268765797570842
TMEM59,170,0.4074965754846208,1.820965628506558e-05,0.002037407955774084,8.523205327826133e-05,-1.7578128444544
TRIM17,1494,0.4506104837969338,9.031726987386469e-05,0.005717679003919124,0.0002412877435968852,1.6440184872770618
VTI1A,770,0.4413126545291077,0.0003967363572373925,0.004521562939364001,0.00027180891836131593,1.6574958866719798
ANXA7,522,0.43028709182555336,4.497941937000937e-05,0.0035162983522591773,0.0001724663611124555,-0.20705259315757357
TRAPPC4,350,0.438572194424589,0.00014662132265257918,0.003888602087727064,0.00014893486936884415,-0.08617619389032086
GPR137B,1136,0.46282589222573195,0.00010544915219831694,0.007832309778757119,0.0002379173479383212,1.9200273091762237
ATG4C,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
USP13,1664,0.47068130603634273,0.00027255561240946245,0.010487341289338457,0.0002472815498322234,3.0691918420240274
TOLLIP,576,0.4420081044574516,0.0001024000932020224,0.00455515184265761,0.00018472030401106565,0.38162897016198516
RAB8A,1416,0.4736562771398244,0.0003081403673130451,0.011607789254628551,0.00024636746207384874,3.162682691658223
RNF185,534,0.417815798433776,2.4558173481513258e-05,0.0029638374271057544,0.000172999708139443,-0.5564361902325488
HERC1,406,0.4508795296927387,5.582540400138538e-05,0.0052396708123082225,0.0001387913349741865,0.11680280608357355
CLEC16A,372,0.4461867102990637,0.00013223629556145594,0.004922898315711422,0.0001479436142926005,0.16825179127746864
PTPN22,1172,0.47324527574238334,0.0004888654712015333,0.013582625131796576,0.00025022492175352795,3.5789769050815097
SEC16A,568,0.45537619445217553,0.0004640704335205099,0.006032414340458389,0.00022006773238558708,1.7365525652405194
ARSB,750,0.46104353543418025,0.00011720460210035426,0.007333501105285196,0.0001952459755898417,1.2989987328856463
RAB39A,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
IRF8,966,0.46188952667733135,0.00030559043403845297,0.008967098498420865,0.000239889878713484,2.2986310129172804
VPS11,1682,0.4686366240213863,0.00026220191165590213,0.009113024016875474,0.0002529804019566484,2.9090614526496497
TMEM208,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
ITGB4,2428,0.4748017024569549,0.00019683580211148657,0.013768138075902688,0.00014893812318028665,3.1151852828127793
SEC16B,266,0.4104268573100882,4.8283053659815576e-05,0.0021037854754170637,0.00012892175266188133,-1.252748077463628
C9orf72,2214,0.4812019018675555,0.00033183209523994793,0.012757997143508813,0.00024689158686541646,3.9784212204948077
ZKSCAN3,538,0.4533364119141076,6.307143236821582e-05,0.00597355141161821,0.00015934272353668177,0.49465968352997525
SYT11,1056,0.4736105750675415,0.0003761897817095647,0.012885662534287055,0.00024254785995836414,3.1791781669295656
TMEM150B,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
LRRK2,10442,0.5257604970008569,0.004718089762367814,0.054136533588911726,0.0008526949720248922,26.87161963357913
SUPT20H,1120,0.44616643185020227,0.00029682728423314857,0.004329110287059698,0.00025190939771491117,1.6226651311565774
WDR41,566,0.4418091809180918,2.227139348625318e-05,0.004183281983151511,0.00016667252793034493,0.05197470401160975
UBQLN4,162,0.39922732818218787,2.8751838029911124e-05,0.0016039063268392887,8.137278467224007e-05,-1.9942219290407837
TMBIM6,388,0.453252689413177,5.308574453622505e-05,0.006519331464098887,0.00013241505607197723,0.24475029730695577
VPS13A,608,0.44777412880861156,0.00012850441478573976,0.006054918631768971,0.00017582856404985137,0.6691069783746368
VPS51,574,0.42671477005998437,0.00017479227253829047,0.0033828962114653472,0.00020575116766785584,0.21549204367662939
TGFBRAP1,684,0.4415309885760547,3.760348446159853e-05,0.007190859008106994,0.0001487463867082539,0.3439348615018155
RNF41,1468,0.4732680904401485,0.00020426102247083966,0.012126315525696613,0.0002448191570376679,3.043957448365073
RNF166,132,0.39356157793457347,0.0,0.0014663764899588386,6.902856086732356e-05,-2.290308006004131
NHLRC1,766,0.45775435978737294,0.0001169073061031295,0.007305108739700703,0.00020014111948363222,1.2719531055336049
BRCC3,3246,0.4596404157692668,0.00029811463086572146,0.008737204495561693,0.00018092718040563227,3.1566110818426
MSH2,3138,0.4782481609587373,0.0017191720325356562,0.014273821323444742,0.0002097421472981864,6.874587972146728
ERCC1,3780,0.4835246022755258,0.0009399453208102911,0.016974482702682023,9.233639533157145e-05,5.394767263215988
ANXA1,4058,0.502868558549329,0.0015245291249642882,0.027901338160126972,0.00012759559364283746,8.492200367641928
CASP3,9304,0.5155987394957983,0.0028343473569445404,0.04413051036735857,0.0008411876972065357,21.3766626558569
BRCA2,5790,0.48965035662626566,0.0014574723902962248,0.01693000513482579,9.875466072450934e-05,7.718953091641544
XRCC4,1304,0.41858184454014413,9.652960313658392e-06,0.002819506135922746,0.00015331489188419312,-0.262559403935989
THBD,140,0.39820711475276843,2.595282557497817e-07,0.0013852221451782069,4.589790844100605e-05,-2.3673124264520204
CCND1,2562,0.4930935757697524,0.0005784054344640462,0.020926972741848102,0.0002057021847541307,5.4804507480941895
XRCC2,3738,0.48033075643409334,0.0003802559963239912,0.011509324044252874,5.407327553186292e-05,3.405162747862551
BLM,3382,0.4546801908202492,0.0006115981910755509,0.007829114797081422,0.00025372891241559614,4.139922087758274
ERCC6,5650,0.49588321462847906,0.0017643747757587428,0.019882324244081748,0.0001947266559074734,9.356044837995064
ERCC8,720,0.4377313060150711,5.5692551284536136e-05,0.004792728089878109,0.0001798033480433503,0.28407722437334704
KARS1,512,0.4361366564485317,3.052394961860262e-06,0.004666050888427372,9.411585650731524e-05,-0.6190781195144143
RAD51,3518,0.475100421042443,0.0010584840241035932,0.010637917401106894,0.0002608101855585687,5.822069436509978
BDKRB2,108,0.417460452457901,5.5402952577211285e-06,0.0025115376465154643,5.1780934084533214e-05,-1.8037283662388424
EPO,1404,0.4791117618350415,0.00015942786652269566,0.01682767896023269,0.00021097277890724797,3.3147379260708174
SLC9A4,18,0.37926904651522175,0.0,0.0007440732517775177,1.0878784248546935e-05,-3.1707346371129095
TNF,13804,0.5393956043956044,0.006771394334384049,0.07179613761183476,0.0016674445100139934,40.88427725430055
BAX,6648,0.513979057591623,0.0018861298044050992,0.04162566887655984,0.00023994386773118492,13.292477594425312
TH,4682,0.5048858259617363,0.0013988887315185478,0.03515340252582359,3.7808294127472664e-05,8.819815802621905
HSP90AB1,4484,0.5051976121860848,0.0017099172640902373,0.03112031984757561,1.3859666617932476e-05,8.646764149666488
KMO,182,0.4377703455964326,6.461513373159624e-06,0.005474980307499267,6.572667463089488e-05,-0.8994293983313205
PAPPA2,768,0.43390055248618786,5.586181476503707e-06,0.0031458439993550776,0.0001683129036038622,-0.12467377535061802
HRAS,9274,0.5126638466760667,0.0020618781337874087,0.04269697993722836,0.000918047475115813,20.311993399275515
NBN,6400,0.49341576196220344,0.0012766780762802632,0.019683780505304088,0.00028797408679892555,9.54561656427382
IFI6,1076,0.47108786410096454,7.892923383006367e-05,0.0128980104104859,0.00018830228515298586,2.2006667691774533
