node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
AGBL4,72,0.38279939126702306,0.0,0.0010015200182185886,3.756095846263463e-05,-2.820986481712614
AGTPBP1,216,0.4304519526107942,2.6945911174854898e-05,0.0032701271350751362,9.753953087354716e-05,-0.9765146558205948
SMURF1,1058,0.47199769053117785,0.00022156924975687747,0.011466945946396747,0.00021922129239548838,2.6299810120554454
DISC1,1072,0.4810710082385249,0.0004612577228373737,0.014043340284972469,0.0002447562291241212,3.7437939256926773
RNF139,720,0.44858018199277516,4.696633199838213e-05,0.004895179944043748,0.00018523348665588912,0.6096568379555614
AXIN1,3486,0.500331514255113,0.0010981443360375607,0.029397741397508153,8.855709216426533e-05,7.500473426029525
EGF,5842,0.49465510286405806,0.000441831515618682,0.032554280984056785,0.0005749598959337021,11.70511303064991
PTK2B,9026,0.5267396907216495,0.003788767558197899,0.05749457895207482,0.0009497694978648497,26.200983480873017
VHL,2594,0.48420533070088845,0.0004892423894150541,0.016315217794380124,7.458225309697752e-05,3.8890114465539125
CAV3,3620,0.5019186492709132,0.0014984950868145595,0.025638371405053356,0.00013656343259960124,8.297463578432556
PTK2,6958,0.5038779598335816,0.0010837232874442563,0.04105774581651904,0.0006684004898787066,15.46243528479489
PYHIN1,584,0.4529713256683751,3.511420825582109e-05,0.007062672657407109,0.0001498591294275542,0.5674252263234901
PTEN,10242,0.5278166361777682,0.007068689358882093,0.056754008420544386,0.0009742147920945854,33.16530047569296
CCDC22,248,0.4235019858400967,4.494703006898053e-06,0.003404978193916539,9.261748097522116e-05,-1.1639285401713766
FBXW7,5782,0.5034125314312106,0.0019698968434616933,0.027321963721556392,0.00021797282853697197,11.444257886253832
CLU,1072,0.48365626386629196,0.00028431177504802314,0.016521073879415163,0.00020755725945420522,3.4734323668000022
LAPTM5,1108,0.4698275862068966,8.337279610730177e-05,0.011318477311360757,0.00020516817997595638,2.2444577409239668
MAGEF1,72,0.38279939126702306,0.0,0.0010015200182185886,3.756095846263463e-05,-2.820986481712614
TRIM67,878,0.4341668510732463,0.00011194018458572416,0.0038697876718291786,0.00018008369237065835,0.3806794547334325
MYO16,1136,0.44969057987623196,6.23130001674184e-05,0.007217394890687752,0.00016526087775581288,1.052569143116465
SLFN11,498,0.4421308815575987,0.00011416788308304418,0.004262628849255724,0.0001693237383033619,0.25950989345631964
FAM107A,2230,0.48864315600717273,0.00047198503596531223,0.017312454114823465,0.00025971843417949003,5.179054317074465
BTN2A2,2470,0.47949557651889146,0.00021034117060464173,0.014530050371434435,0.00013868009442674634,3.468782763617605
INHBA,2756,0.4920252783629251,0.000617040493918442,0.026025328144225236,0.00018090487674982114,6.255597910637222
CACNB4,746,0.4523864422411805,4.7383841764485884e-05,0.006682277980039629,0.00016571868067849493,0.7621122381012524
FHL1,1628,0.45412461809091753,8.934352002412748e-05,0.007777686988906808,0.00023525171008564882,2.1065611869082943
FBXO7,946,0.4614299153339605,6.302914376736417e-05,0.007644414512399928,0.00021231961237866415,1.5667368748100818
GFI1B,308,0.4093811292409131,8.441394587540893e-06,0.001936104946658674,0.00010664303620977478,-1.472846631986903
RBL2,294,0.4059926333650623,2.111491779864584e-07,0.0017778616574771597,0.00010166909819808723,-1.6230239779187305
EZH2,7088,0.5135050251256281,0.002814499538491293,0.04045495292143851,0.00045461452156914106,17.28795462547866
GPNMB,754,0.4588829637945552,8.125370126361341e-05,0.010305948794708713,0.00018505987084793674,1.509963432628031
ACVR1,3956,0.49809596344249807,0.0013404301161497121,0.037110554074868504,1.8289262971649123e-05,8.551494908865704
BCL2,11982,0.535802064558414,0.006492522597477263,0.06638615666216159,0.0014940107568239824,38.350237337732885
E2F7,614,0.4519071310116086,3.1241685187627076e-05,0.005821603187770209,0.000159956084361923,0.49534197380476946
CCL2,3018,0.4889354066985646,0.0005915253594504288,0.025209397906318078,0.00011301626127036002,5.7304950920605044
DCUN1D3,594,0.44274946969355056,5.677529108569919e-05,0.004876207662706349,0.00014060621722222777,0.0884476492036603
KANK2,414,0.4291526313487029,5.254636082044588e-05,0.0032755264005115744,0.00013810959836391135,-0.5232750612828735
DACT1,2774,0.4926182585115999,0.0003898121293525432,0.019780322640193297,0.00018118196175187506,5.174573164128865
PRMT2,310,0.41587180465471196,3.6964586418413505e-06,0.002230929591970482,0.00010526893637141654,-1.3208855735314575
GJC2,428,0.44078001437814524,1.4339365140132246e-05,0.004569043491714164,0.0001385740368089472,-0.19231003833053667
WEE1,682,0.4560669456066946,5.488201192895635e-05,0.006969202738729257,0.00018105423281866706,0.9548770873995223
ZC3H12D,340,0.41573081323897104,3.705308623720965e-05,0.0023032139229294617,0.0001224459275075418,-1.1077427112358436
PKD2,3202,0.4980453876224806,0.0011485000136955967,0.028036567885786658,0.00019266884950219776,7.9690907980266665
CRLF3,522,0.4263549046025468,7.995379476321304e-06,0.004040576752636685,0.00014031077031617656,-0.49005939260259485
BRD7,5378,0.4670538944962864,0.00013354701714989321,0.01155991199791848,0.0004461324141740164,6.971857581132275
JADE1,1228,0.45448227936066715,7.947337070742614e-05,0.006083902266600448,0.00022871285688985665,1.5896151440385726
