node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
CAPZB,486,0.4369041918774213,6.667653677001657e-05,0.005164163084466656,0.00017090377848205662,0.22557210328519667
SHROOM3,1244,0.4497266780177435,6.384379923349828e-05,0.007560826996257533,0.0001835387559570023,1.3515400657800751
LST1,312,0.42900495811249784,1.3749767725382876e-05,0.00416769921477727,0.0001149924644359146,-0.665167773388897
NCKAP1,762,0.44954539346978994,5.541920423462161e-05,0.007991279675460605,0.0002002235238425243,1.1778017585254845
CDH6,420,0.417026757520359,2.9610221169840918e-05,0.0032571071530687412,0.0001594436335210503,-0.6018445607515989
CDHR3,372,0.41410182358280384,5.844404922801134e-06,0.002923516857880921,0.0001420892754353531,-0.900935479170552
CDH20,372,0.41410182358280384,5.844404922801134e-06,0.002923516857880921,0.0001420892754353531,-0.900935479170552
PTPRO,962,0.4520153118666967,0.00019001571248207941,0.008330620495666845,0.00024269140010879653,1.9575582759543573
IL7R,1856,0.4741815089526149,0.00019700477781226734,0.014174677199804711,0.00022659426835680563,3.5702571051791883
ARHGEF2,1418,0.47164137023636105,0.0002044660069495603,0.015231279532893221,0.00015909231481536779,2.8783879756093436
P2RX7,4414,0.5061012505042356,0.0024756330729506027,0.040113005069960884,3.0887299113047106e-05,11.772013913281265
MAPK14,6452,0.5109968434986254,0.002192660228514959,0.03973780916277201,0.0003575699599576154,14.970428677797369
ARHGEF28,228,0.40489733349469526,0.0,0.0023779169533671577,9.196074872086513e-05,-1.6185540254092035
CDH22,372,0.41410182358280384,5.844404922801134e-06,0.002923516857880921,0.0001420892754353531,-0.900935479170552
CAP2,332,0.4251885113954079,1.2174794191215925e-05,0.00379673670954853,0.0001256038528829606,-0.7013805105315865
WNT3,3314,0.4819919323857088,0.00029576677500897414,0.023910826480248008,5.2177278499598856e-05,4.739710908640767
MED1,5204,0.4986833606598102,0.0017538814180266943,0.030781253733348862,9.370586680113036e-05,10.176034086218564
CDH24,372,0.41410182358280384,5.844404922801134e-06,0.002923516857880921,0.0001420892754353531,-0.900935479170552
PLEC,4580,0.4961688664788175,0.0008377057730503764,0.02554522747699764,0.00014732622714674903,7.766290595457641
CYFIP2,364,0.4312908215881746,4.742349416257193e-05,0.0044580589902487346,0.0001338399761383613,-0.3523154109269487
DCHS1,1114,0.46603519524539166,0.00026789371612140697,0.011879170561088606,0.0002430857430955058,2.900699070131875
CDH9,676,0.43542579497635675,7.925518323439672e-05,0.0051646360556767265,0.0002154060718932982,0.6605601630671166
