node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
MAP3K5,4698,0.4967431606373384,0.00035570093183421626,0.03161313221032385,0.00023815772398094737,8.191302938105009
LTK,3506,0.46623401053423624,4.42849567814834e-05,0.013448186283466623,0.00017443014051465866,3.6853074837564384
CAMK2D,822,0.45678215997051236,0.00013592837647933605,0.008093939566342445,0.00021042519868608167,1.5600110214541019
BNIP3,4342,0.49671827245854,0.0004913356554675436,0.02908009240015094,0.00016057396126356593,7.343439681753453
AGT,6942,0.5173241494468795,0.0015915234921725064,0.048332024189222264,0.0005021648265177703,16.257312626395557
GATA6,5392,0.5035554652580252,0.0009372752879212221,0.03653921566902726,0.0002453278031477879,10.47935556757164
POU4F2,4384,0.5011626731371954,0.001220512545726875,0.031223845849766563,6.842823682440269e-05,8.369523578272622
ATP2A2,578,0.45279744233843344,4.5439069363261855e-05,0.007249089732026549,0.00016645896485911749,0.7209562183599936
CAPN2,934,0.4651839339339339,0.00011580513729018011,0.011190607492699163,0.00016709818149251987,1.7905207555846891
SMAD4,9370,0.5179187127781841,0.0023816861836812287,0.04860753873548204,0.0011566305433170498,24.31025039239261
TP53,19424,0.5415710695946684,0.011782750347173913,0.06637297447873719,0.00370307571871642,70.15375287176512
CAMK2A,996,0.47353840275124187,0.00017024946244898197,0.010781265699855384,0.0002078026573393288,2.3705101734343956
CXCR2,864,0.46083763305908054,7.685279619805545e-05,0.010932125914208054,0.00021355587228377715,1.901163330496122
TIGAR,2720,0.4802363882968417,0.000259551577439781,0.015601918917218086,2.856516426597011e-05,3.0026486237933563
PRAP1,104,0.3950115547055542,7.385932444598739e-07,0.0013751120364084734,4.415446283267954e-05,-2.4665099223695406
ATM,11214,0.5163541666666667,0.005484510926695139,0.0379624869262784,0.0013293999432484327,31.409717962244628
RBM38,778,0.4154374790479383,0.00012311262551023414,0.0026150046113546242,0.00023772018277057327,0.2336210409411904
CRADD,518,0.4528801790690238,1.878103715704076e-05,0.008803443001455873,0.00013755490534528292,0.5878317503650685
CHEK2,3416,0.4876777018053028,0.0007415676594773394,0.016292671217992372,0.0001441634235916922,5.466733022542694
PML,7538,0.5168117604128656,0.0025961079099971716,0.04316908985345036,0.0005522910645812118,18.321068201793768
MDM2,3592,0.49205876513797897,0.000649581752143341,0.022623890967064596,2.3904348619652183e-05,5.299685586722017
