node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
GPNMB,938,0.4743533537921964,0.00014792294073796462,0.013427010114671751,0.00020220585179941963,2.3185753727812584
HAND2,3584,0.4905793450881612,0.00028152598807151764,0.029864063483280016,4.756554026208448e-05,5.266359146695302
CST3,110,0.40809655519235605,2.8219496463521242e-06,0.001781367173987561,5.134393802208592e-05,-2.0693887613318194
THBS4,2000,0.4769087614476713,0.00013135499184342722,0.01939789824208055,0.0001324375068207928,3.171896342759305
TP53,19418,0.5433242202756235,0.01198512352779991,0.06452694640830019,0.0030869664559300958,60.1931324844128
DDR2,8644,0.4978782146326499,0.0005245740763761986,0.0326031862019202,0.001098471222501729,15.81534566343225
B2M,2170,0.48959276018099546,0.0005842645709011996,0.01689349011611429,0.00023520555134837196,4.7455459058463925
STAT5B,4480,0.4978782146326499,0.0009503647003050671,0.027791464988686745,5.0294956587038087e-05,6.952077582913848
PRR7,584,0.4590148479849163,3.709949696579185e-05,0.0065737831112590035,0.0001566531161429907,0.5411880201579583
IL7R,2322,0.47897299690128375,0.00027204839868087233,0.014481947123999183,0.00024047536534155256,3.807457405231233
CDK6,2466,0.48651079136690645,0.0002821052431057427,0.01870511759886159,0.00016453526556503562,4.048894395633434
ZBTB1,2960,0.4720081430856478,0.00014912654383314025,0.012844729776803055,0.00010071527152000215,2.7341452454355744
ADA,2324,0.49033232628398793,0.0005562136914678562,0.023727999249745415,0.00025323954421274664,5.667806879725568
FZD8,658,0.44943923939631697,7.77431187200275e-06,0.008449942816696598,0.00012560967142327684,0.3376147329859899
PSMB11,228,0.4157807096195722,0.0,0.0022669791343845887,7.678999567062306e-05,-1.6282359674475049
RIPK3,2192,0.48794909054467106,0.000651726125362235,0.019521703169202615,0.00025122530450438774,5.239003508811921
BCL2,13916,0.5372689655172413,0.0061221631497404005,0.06428575668788188,0.0015736914156807558,36.46510843576309
GLI3,7800,0.5038547110260257,0.0008920539781509981,0.03771562254927534,0.0005262625184681013,13.03291392595002
RPS6,846,0.4656656465187452,9.217633998496761e-05,0.008040425892277317,0.0001929388224866102,1.3274195340510566
CTNNB1,15354,0.5375062096373572,0.007856821813445308,0.06333767198635507,0.0021233103844249257,43.880528017441605
ZFP36L2,3576,0.49067822231180086,0.0003566907764984491,0.024471330042571245,5.704333941558559e-05,4.867256412396946
ADAM17,3916,0.4988473951129553,0.0007121142321106069,0.026211330577942213,0.00011793644082125354,6.4669674315525105
GBA1,3868,0.5078222778473092,0.0014778294918483485,0.03261377267402916,0.00016908699593365384,9.05984971635601
BCL11B,1362,0.46776827745220484,0.00011868115513140152,0.010679277331920168,0.00017083824003627512,1.8697251919469886
IL2RG,600,0.44643102736900014,5.0013563299125854e-05,0.004529475243303437,0.00015732412000701856,0.0881142475199429
FZD7,2034,0.48329941932602116,0.0002567232819572918,0.017874550347735396,0.0002050651664156078,3.8510843846300227
TESPA1,228,0.4157807096195722,0.0,0.002266979134384588,7.678999567062306e-05,-1.6282359674475049
MR1,228,0.4157807096195722,0.0,0.002266979134384588,7.678999567062306e-05,-1.6282359674475049
DNAJA3,2862,0.49938461538461537,0.0013865809847448507,0.022015005853080284,0.00021458050597544798,7.253074244611451
MAFB,1132,0.4726266744321491,0.00020172675047768938,0.013315952747170517,0.0001934064449393702,2.424868581394158
FADD,2060,0.4872166908490519,0.00040021991113783776,0.02323210332465847,0.00021280040109594722,4.85087066572817
SHH,11292,0.5271191945436831,0.004578610571303641,0.05218456784746089,0.001112290710256758,27.62600437260199
RAG2,458,0.44285779253262997,1.8801511412021315e-05,0.005053511431218178,0.00012786616990290156,-0.25696667514893234
LIG4,7332,0.5010032412409322,0.0014038452696667099,0.026155369919624773,0.0005016814414720017,12.20520941801239
ZFP36L1,10458,0.5131204552639899,0.0015063043363534594,0.04277438808114313,0.0012465608815688256,21.051179029908468
WNT1,4302,0.5068179452482565,0.0011665657932903965,0.03376635901546363,4.7181322754497046e-05,8.070741580410903
PRKDC,5212,0.5111811023622047,0.0023740983060737365,0.02895058028174172,9.438928191585205e-05,10.668982876160994
JMJD6,1628,0.47520983798555533,0.00040503071681710016,0.012745508757939644,0.0002332242903353432,3.3303611214061446
FZD5,1450,0.47548828125,0.0002715881457606387,0.01802176922951771,0.00021447642748562146,3.450796326817602
NKAP,784,0.44101263529731444,9.699767395247877e-06,0.005844617465585593,0.00015621057320736043,0.14512638734032623
NCAPH2,270,0.4204663212435233,7.145922655159195e-05,0.0023681624943275173,9.853797282133314e-05,-1.2245829727073045
RAG1,2812,0.4835634124540669,0.0005951525823826077,0.01636379358814209,0.00020928676124931656,4.787683709901085
RABL3,388,0.4315341664450944,1.3584182901221401e-05,0.0037800075827538206,0.00012116993341315663,-0.7286891594296715
BRAF,8374,0.5079282286668058,0.001876018707405007,0.039910196509303365,0.0005957916601992963,15.936433943938884
SIRT2,5120,0.5066860918882355,0.0018067149578043769,0.030930018412316383,5.207392479888995e-05,9.431891700838417
PRKAA1,4990,0.5092297233697641,0.002034061375775743,0.03379267059976382,4.8683534151550134e-05,10.119342017367552
RGS19,444,0.4298199152542373,0.00022246055239063742,0.0035457344898387044,0.00018618737637154936,0.03879475546806821
