node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
ELK1,1282,0.46718236138774377,3.1949903959630235e-05,0.01210488332633262,0.00014270362455093277,1.9166742742858114
NKX2-8,1940,0.46329811667432247,2.4898839958800652e-05,0.014059954045686815,0.00010019559118035204,2.1898167184799524
UGT1A7,634,0.4343856324561781,0.0001848434363430683,0.005585154642381034,0.00020821521877323335,0.7958449594030361
UGT1A6,480,0.4323003728944323,0.00010810190788134417,0.005220800365119222,0.00016209307922210314,0.1606329598596755
UGT1A1,950,0.4596873433298391,0.000614675131017353,0.010589203334349939,0.0002643960434731696,3.2753856224612687
XBP1,7982,0.5225906735751296,0.0041013736019375165,0.051151006907700976,0.0004580112590684138,21.584231531873307
HES1,6404,0.5068087030802472,0.001593380258368628,0.04206556344462849,0.00039984980016782856,14.091896229160659
RPGRIP1L,998,0.4654575661082653,0.00019015178102948097,0.011878336865760028,0.00020090909680625657,2.3518663283466483
CEBPG,1884,0.47005639185347436,0.00026406053783529,0.014532449070970876,0.0001904014507978502,3.3954733498963776
RARA,5608,0.5071399839098955,0.0011087352382413587,0.03735960242534429,0.00023444205589662204,11.045339545462681
ALDH1A2,4446,0.4988623998417252,0.0016200497778078916,0.032612977461734236,8.882792726261357e-05,9.581191377303336
UGT1A8,616,0.4335267569310122,0.0002198589985397193,0.005464668600925741,0.00020853094739692324,0.8206205044447662
NF1,15936,0.535123089983022,0.007287537868320175,0.06642820183633774,0.0027761367175358487,50.102842703938734
ATP7A,4174,0.500545905707196,0.0012725080274194201,0.034402951616078946,3.705688272148677e-05,8.639896602577831
HGF,3902,0.4945329737680804,0.0006851942910988919,0.034348375478057754,7.085531307815529e-05,7.444802282159845
SP3,1926,0.471440590819856,0.00020166713425204114,0.016256574824108427,0.00019000437392335812,3.523865349820648
SOD2,4342,0.5089312745988496,0.0027425030353629256,0.03760489657199981,7.203709731840036e-05,12.285988701932137
JUN,5502,0.5026913875598086,0.0008640611844147286,0.03588591595308383,0.0003129389037574981,10.775721497264698
PROX1,4266,0.49962847377024816,0.0007751556631932426,0.033440009558984914,5.771896789141806e-05,7.772700273145448
ACAT1,300,0.42755404832556165,1.196281972188679e-06,0.004424207807838608,9.551636422244769e-05,-0.787963270400167
NOTCH1,10510,0.5161455401463589,0.0028818085025288003,0.05418400251088584,0.0013629835430410964,27.129345450616732
ATF2,5760,0.5072675149625308,0.001527118573846308,0.03675815204009201,0.00023840428316646012,11.89580121103677
PIK3CA,6400,0.504577517634699,0.002633373340884806,0.04174554931347583,0.0003266747270238568,15.483482182026442
PCSK9,1590,0.482745417125353,0.0002600179930874098,0.017822853261449296,0.00018462392907814262,3.790464153012578
GATA6,5118,0.4971901804199941,0.0007799945984259454,0.03509549315622112,0.00021452850011627334,9.510608068746485
ZMPSTE24,3408,0.4955291343224919,0.00143284099467503,0.024392910545987218,7.977047240004254e-05,7.502010277679745
MET,2816,0.47667659152133846,0.00026615545180260316,0.016209176314425516,9.190609857157028e-06,3.1389778894174163
CEBPA,2700,0.49650487348626565,0.0007729838243583287,0.027526829089993668,0.00018947216865505823,6.888163718299867
ACO2,348,0.42979503132057784,0.00027507602677958313,0.004398293160243292,0.0001236339846428791,-0.00984633337386525
PKD1,3058,0.4960409187035853,0.0007069505439113892,0.027752801182318116,0.00014183266738854172,6.698956946172266
HNF1A,516,0.4449836759904703,9.753598780537403e-05,0.006948612581590165,0.00014670209674960688,0.5222486749585495
SMAD3,10126,0.5244929797191887,0.0037503837735036257,0.05830382964092527,0.0013081575395137435,28.78692090236892
SRD5A1,3786,0.49638269599881885,0.0006654818704525144,0.03095267104474125,6.856864694526621e-05,6.977421489106519
PDX1,3354,0.49543177129384025,0.0010554103118991267,0.030174036036699988,0.00014259010120021287,7.811812985965798
PKD2,2882,0.5041991601679664,0.001965029923160169,0.03351671870822882,0.00024802777951826727,10.471061612162694
ONECUT1,2938,0.479623377240953,0.0002925133739595166,0.022227183820785232,7.514877925451913e-05,4.436823802847232
FPGS,1134,0.4576225045372051,0.00028485150187038794,0.00960423614608454,0.00017733072516890047,2.045453715637926
ARF6,802,0.4615595826468973,0.00011928059709548678,0.010856589493023627,0.00018780815861596523,1.80711780767961
