node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
NR1H3,1758,0.4774573221146831,0.0003469955756858468,0.013947914951568791,0.0002750817726138166,3.990597031875856
CST3,74,0.40866705519940055,2.6039647825872373e-06,0.0018837139590650706,3.646347465746658e-05,-2.1975428168500653
KNG1,124,0.4194582122714066,5.309932152683359e-06,0.0025908058175864172,5.5600071016570496e-05,-1.7153384822611553
SERPINE2,1284,0.47622974677403707,0.00017164597533979946,0.01121940047570373,0.00022986938944491442,2.7253729476505564
NR1H2,1354,0.47201654005192806,0.00017567569663678854,0.012943060090696379,0.0002152177210970052,2.7676881109679177
CSTB,108,0.41562235393734126,4.639790613831368e-06,0.0019592289851919926,5.322042520461423e-05,-1.8942903304974044
CLN8,1310,0.4726301092869867,0.00024147912976522275,0.009851270172155821,0.00025157382550311524,2.8014131272489067
PLAT,570,0.4596404157692668,0.0001418595307352271,0.008129495392847026,0.00017483439493481967,1.141530190222235
CSTA,528,0.43617541209401517,0.00014183408451478723,0.004373494248621609,0.0001656625595725103,0.13975822984747788
HDAC6,3936,0.5039010368545324,0.0018133193205207962,0.028523669741492116,0.00014702522787146677,9.174353290213242
BAG6,2562,0.4783413730936023,0.00020144061094747964,0.013766797592616597,0.00012755799394348344,3.1207927137167553
INS,6126,0.5056660142165448,0.0016511088616491428,0.03383814048585802,0.0003237933858866171,12.13928309041709
CDK5,8144,0.5226256388415673,0.005280896358007578,0.044298528694477556,0.00041346814422560385,22.09438208047404
TP53,21468,0.5412692286486188,0.011576127094628071,0.06676634817314692,0.003900634728408292,70.22946291855258
F2,2810,0.4892599053077498,0.00027681414488361683,0.022844750862014866,0.00012867342050881803,4.645815865964583
AKT1,13096,0.5419265801821694,0.007597457310619294,0.06638651263309743,0.0014123917781407869,39.5168117567805
CLN3,1674,0.48217092337917483,0.0009088606167890415,0.01386080315302043,0.000300666164275043,5.234182855136787
CST4,36,0.3923033887468031,0.0,0.0009830199509806086,2.0781779088707708e-05,-2.785482512917593
SERPINB3,344,0.43902329949465585,1.2280365541130012e-05,0.005357513051301225,8.889646699472564e-05,-0.6057730092254052
CDK2,4060,0.4829537068923107,0.0012365666989476644,0.012896773064753694,9.131701784781399e-05,5.631439524899329
MAP2K6,3706,0.4897725004989024,0.00031650108274825314,0.02132653135888534,3.1069434616171065e-06,4.173886554671242
NSMCE2,1728,0.44777412880861156,8.690700098211588e-05,0.004881929415817278,0.00015243456636149233,0.9697668057326818
H2AX,4802,0.4796501685640299,0.0007032967218418886,0.012497791501992497,7.493713564343807e-06,4.382932103706211
DNAJA3,3484,0.4980215097402597,0.000659234998738266,0.025454747143086997,0.00012966904762556908,6.224635350985742
MAP2K1,4328,0.4939619603502063,0.0005406804321747671,0.026702715610170614,8.629805330606644e-05,6.252360968459609
TBX3,6156,0.49916103116896327,0.0008018524477819262,0.029543263559363535,0.0002956140766396942,9.803882907360475
CDKN2A,7226,0.5127441763292594,0.004274472274770816,0.02994598907027512,0.000314051160579254,17.193971739268374
ATM,13266,0.5166298284391116,0.005245322355392171,0.038550208912200255,0.0016411282714834385,33.46298900150846
MAP3K5,6216,0.5019686045917063,0.0006007008065159673,0.03552673723478254,0.00043002951636061937,11.190536116064699
IGF1R,6414,0.5059526877287017,0.0012960754002778485,0.040135405063836525,0.00040990583929989555,13.009732896194503
PML,7500,0.5132535159721859,0.0027182729933752834,0.04185719547872574,0.00045214734774035037,16.893678917636155
ZMIZ1,3158,0.48217092337917483,0.00027773773969487514,0.020431161556634457,6.446895897127547e-06,3.537834035421399
KAT6A,2140,0.4624770339661752,0.0004476483368402616,0.007608854016527177,0.00021687533562975148,2.9586324912954516
PRKCD,3928,0.5033842682801764,0.0008687417763673517,0.032477048837106635,4.743181292354848e-05,7.149932994152824
ULK3,2154,0.4676097932742688,0.00011727267343728063,0.00963360467131181,0.0001455704504689237,2.1734028968847126
MAPK14,6988,0.5207681290117235,0.003509436438610787,0.043726076314512585,0.0003108274694625379,17.331047480375933
MAPK9,2992,0.48601415911678797,0.0002342087803715389,0.016873358212759024,0.00011896953925649711,3.88082814177631
MAP2K3,3138,0.4839536603401528,0.00017086260619753353,0.0185012254886621,1.2627837728373947e-05,3.20328771059917
MAP2K7,4738,0.4955828158917664,0.0005229867385416944,0.023902528133195444,0.00011016210909176039,6.371020808199237
TERF2,1516,0.45295990402805336,7.388951452628098e-05,0.005962916449948583,0.00013375760015499338,0.9079498823684811
MIF,3858,0.48637534680935396,9.24866917524837e-05,0.023074892486065264,0.00010025651162770544,4.701583727989421
KAT5,6044,0.5031520680641689,0.001886622625563078,0.020039856238795783,0.00010947476235223519,9.354828811319186
CDKN1B,6778,0.5091012809210185,0.0028663675298665325,0.03271364794669563,0.00030569588659012936,14.544568344783787
TP63,7802,0.5018146501047897,0.0014940610841185995,0.03296367456666853,0.000641868255502942,15.048303274591895
MAPK11,1246,0.46280407316613237,2.416355203170065e-05,0.008554748872614197,0.00012096077810141992,1.0528651924228662
LMNA,3830,0.48623080733036156,0.0003228169622831222,0.015690244111571484,2.6262786127162485e-05,3.7361795427757905
NUP62,3282,0.48155596978318455,0.0006423130355451307,0.011715504143649927,0.00012450268454600177,4.172582856574754
MAPK8,4326,0.50276554337806,0.001044821678472101,0.027539471695537374,5.0344498344401245e-05,7.1736170192133395
SMC6,1732,0.44622727272727275,0.00019523076035542767,0.004715079402877951,0.000156146734086704,1.144431014562902
ECRG4,1236,0.4560531450339125,6.702619198234362e-06,0.006898563662969477,0.00011293797121680882,0.6310883556375741
NPM1,6134,0.49931336147703576,0.0021214398843465523,0.01973207202507749,0.00015442858473768695,10.051705452364127
SMC5,2524,0.46126016069163184,0.0004999478011673726,0.006955688424429295,0.00019825912311510763,3.050231409654498
CALR,3738,0.5014814058030241,0.0010646288774671662,0.027848128238119798,7.322926853525757e-05,7.0297049579765005
ABL1,18918,0.5498487733841156,0.01284677288286052,0.07438078968347142,0.002975374224586602,65.14955228844177
PRMT6,1670,0.461563778268842,0.0002483723016147787,0.0070122634873718975,0.00019091241251700808,2.0366690801204848
CDKN2B,4428,0.4904086322309921,0.00041710084837971696,0.02225855573044379,8.755255487891134e-05,5.534337432722556
CITED2,8212,0.5097357079806843,0.0016934725613287854,0.04234993180797261,0.0005697281998227055,16.323926599105484
HRAS,9274,0.5126638466760667,0.0020618781337874066,0.04269697993722835,0.000918047475115813,20.311993399276698
TBX2,3486,0.48967478052673585,0.0003437562751939049,0.025274208264294926,1.6267823964355443e-05,4.620273633336873
MAP2K4,4066,0.48967478052673585,0.0001754197780198569,0.02445595446914876,9.972329256946466e-05,5.195171318084204
ID2,3884,0.49535775557573924,0.0006450093911695675,0.02503288148016563,3.0511449505610244e-05,5.6043140431389045
WRN,4738,0.48172137985180824,0.0007776494374868762,0.01282767307805264,8.22651540133279e-06,4.5639495097649165
OPA1,1990,0.4614769896112443,8.493227394713174e-05,0.007594021926941481,0.0001012117180874128,1.3331929019508335
SRF,5980,0.5100005195075069,0.0021059215386564694,0.04062292918767431,0.00023929210409256996,13.085915665429079
CDKN1A,11582,0.5130925625881984,0.0022371606396748437,0.03963809084358973,0.0013708195405968127,25.05119604585572
BRCA2,5790,0.48965035662626566,0.0014574723902962235,0.016930005134825794,9.875466072450934e-05,7.718953091628974
INPP5D,726,0.46175917215428036,0.0004613074441704213,0.007150683431578057,0.00022177266965250908,2.0976098436932684
LEP,6766,0.5203264959983039,0.002738000792636273,0.04687522406914123,0.00022203318705038555,15.482818782741854
MSH2,3138,0.4782481609587373,0.0017191720325356564,0.014273821323444746,0.00020974214729996277,6.874587972149186
LRRK2,10442,0.5257604970008569,0.00471808976236781,0.054136533588911746,0.0008526949720231158,26.871619633566045
CGAS,260,0.4213666409133831,4.615574741968522e-05,0.003101689533907516,9.55773974844476e-05,-1.1666291909159106
GBA1,3846,0.5055358154384881,0.0012927924557978182,0.030359508013701415,0.00010786891627034834,8.12606248407747
ATN1,4224,0.4777361428779989,6.534008686473504e-05,0.01581746808147283,0.00012204550025707306,4.053796340537585
TREX1,3112,0.49035964035964036,0.001046156493584856,0.015499701972191532,0.00021241085321044295,6.052804348630706
TFCP2L1,110,0.39807793682332426,1.514149563119388e-06,0.0013820371547605362,4.223762352317806e-05,-2.413391247296948
ZMPSTE24,4346,0.49316788907866976,0.0005181626073041787,0.021556032605091157,5.916471825351266e-05,5.437825623143049
RAD54L,966,0.4334599081596609,0.00010162899698784514,0.0036658380765819732,0.00022408974343512966,0.6298146086078498
GHRHR,1766,0.48683362261343915,0.0004071575012001978,0.020167624516695064,0.00025273368062173063,4.821597877900391
IDE,1426,0.47852790640994397,0.0002380076148364723,0.013192299711491455,0.00023017382386569807,3.19935898127772
BBC3,3902,0.4937135385234359,0.000490804561121154,0.024028292039202138,5.856443339169459e-06,5.008662683028709
SIRT6,4724,0.5036942021549513,0.0014820878331366152,0.026961138896097112,5.902866062612588e-06,7.831545821911236
DDIT3,3386,0.5026883096932767,0.0014857722620626069,0.02956913906661728,0.00018777629141730756,8.640785719596382
PAK3,2342,0.4808012537956705,0.0004117382308792071,0.016737060461492887,0.0001753581699368567,4.100632011691314
CASP3,9304,0.5155987394957983,0.0028343473569445434,0.044130510367358614,0.0008411876972047594,21.376662655843653
TFAP2B,2778,0.48371520078837155,0.0005284157936822584,0.018997427185732413,9.176983711967068e-05,4.267031985720085
ASCL1,3470,0.5015582690440914,0.0008923645279352079,0.026160707797417734,0.0001541768775350505,6.97121329037447
CASP9,4698,0.4948084677419355,0.0003270337873914723,0.023708365641133062,0.00014863218629557196,6.2398664452308985
NF1,18992,0.5382717403224038,0.0071966786611443985,0.06606670720377511,0.003176406736994153,55.31336166193198
CDK5R1,3672,0.497365487891377,0.00123108032700955,0.023625719443555283,0.00016483781464593505,7.416858469851278
GRN,2710,0.4820762129247692,0.0001919772505945099,0.018107298739572012,0.00010019259008231529,3.547663823544482
CASP2,2458,0.48843226031145826,0.000411920772181815,0.020464485689685726,0.00014446362928310919,4.51397727098357
