node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
FMO2,40,0.3346405674532806,0.0,0.00011788584845076067,3.0489664721855547e-05,-3.9780339943605316
NOCT,694,0.44562008991417285,0.0001377286067585487,0.0055867445585657685,0.00015413304801370487,0.4823186303612417
IDH1,382,0.4002039151712887,0.00043687120111538446,0.001859720031247041,0.00018799179591688642,-0.27320092011874847
DCXR,272,0.42769351464435146,6.953494229075343e-05,0.004228201689086851,0.00010622657339709463,-0.7683708252664125
MDH1,160,0.34454548646466066,6.097369971758467e-06,0.00023315179747904733,9.98380232317686e-05,-3.1832032448148992
PC,40,0.3346405674532806,0.0,0.00011788584845076067,3.0489664721855547e-05,-3.9780339943605316
GCK,762,0.4552117641601336,0.000240283776587977,0.008773915256319792,0.00020467854870709346,1.6264908420782465
G6PD,414,0.45474767134714306,0.0002597607611622331,0.00685064832980219,0.0001536535356372326,0.8662699992662556
ME1,40,0.3346405674532806,0.0,0.00011788584845076067,3.0489664721855547e-05,-3.9780339943605316
NOX1,978,0.4667522831050228,0.0004134714717819104,0.015492518845153925,0.0002134937320050767,3.130840072509792
IDH2,276,0.3622637330183107,9.64992357975707e-05,0.0005293905520772567,0.00015998920453874632,-2.1144183981920257
LHX9,792,0.43267195767195765,1.9169627119993036e-06,0.005675268369988026,0.000142371875266889,-0.05591473173757688
CYP19A1,1496,0.4529634416543575,1.5728838598816063e-05,0.009011601994288559,0.00010563649634498518,0.936975897272676
COL9A3,870,0.4353593611357586,0.0005445629368125558,0.005820933976733622,0.00017294559636482632,1.2960930918722064
NR5A1,1252,0.4589803554724041,8.529312855111895e-05,0.00993318611917445,0.00018849373418206028,1.7302764599249472
FST,1702,0.46880374546149434,0.00023578248142448236,0.014541389489263921,0.0001863207779191356,2.988765595123866
UBB,1028,0.4645427002461655,0.0002754865171889655,0.007328740283759425,0.00021339222097260802,1.9526212466754838
BRCA2,4962,0.4882575380634889,0.0016066940063541215,0.016243406173446547,6.595222799354872e-05,7.303484107716139
AMHR2,1442,0.46511517679400893,3.0031635201024372e-05,0.013561687314145133,0.00016269454018491558,2.0914078870113033
WNT4,3980,0.4981724032896741,0.0009228011071111595,0.03402061681651467,3.459730936228311e-05,7.373816581766804
SFRP1,9394,0.5210534699729199,0.0026340827264301116,0.05407777340388322,0.0008357934522269517,22.259669816000365
NR2F2,2264,0.47800672219786644,0.0002837143012942845,0.014121625680101111,0.00014905366644590856,3.306729949614955
FSHR,2288,0.4641032917139614,3.5513764921018124e-05,0.01309601308155446,5.4776569417214205e-05,1.7866792080372425
TIPARP,2698,0.4844251369896826,0.0006288622165396299,0.018536369257116943,0.0001811478720519233,5.069089277409359
ARID5B,4466,0.4939595288432498,0.0003550447875947019,0.02346887959198174,3.457584266364222e-05,5.353224091842274
CSMD1,1132,0.4582944143470951,3.67116412277864e-05,0.009660793362957365,0.00017225404226905994,1.4064351179942645
FANCA,2064,0.46657474324838344,0.0003348306022355851,0.010483708195595319,0.00021549886850635858,3.10680651752344
IDH3B,200,0.3373672087186716,6.6794174304133875e-06,0.00013731918042495412,0.0001238003667083376,-3.1491610419151232
IDH3G,140,0.3357282151288104,0.0,0.00012230632792462333,8.882481011340815e-05,-3.4814467053214138
ACO2,716,0.43020604997807976,0.00031745101755377246,0.004243727901295251,0.00017770529183103179,0.5275099900424943
IDH3A,140,0.3357282151288104,0.0,0.00012230632792462333,8.882481011340815e-05,-3.4814467053214138
DAB2,2868,0.48993958759798295,0.0005960561391446047,0.023829844045672146,0.00015924542773859685,5.65880447368347
TGFBR2,6606,0.5134739155460206,0.0024518937747720583,0.04680521055976478,0.00034363503245060656,15.767060142426422
ACR,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502184105
ABCA2,224,0.4235766391850477,7.509101245342146e-05,0.0033587350201797483,0.00010696693935763335,-0.9646229969607856
RBBP7,3026,0.4686022635022205,0.00028709126735316115,0.00955631488967387,0.00011727756579205106,2.854670935394121
SST,286,0.4447919499592059,4.84064594099034e-05,0.005699226215929023,0.0001137360711513935,-0.22566906341406184
HMGB2,2508,0.4823061043939841,0.0010886543263456526,0.019676058635107425,0.00022609372115311999,6.212281758190708
ACTA1,242,0.42326604554865427,1.1957865345321897e-05,0.0034490867607344573,8.589357293331545e-05,-1.2170485798931483
GNRH1,48,0.38456715131089075,2.406982777005475e-06,0.0009770753380548207,2.956285194954944e-05,-2.83529927620949
PPP1R9B,2786,0.48910930568708566,0.000382553460041933,0.02052418702589562,0.0001760856492758478,4.944367413600901
PAQR8,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502184105
LOX,4126,0.48325618043927904,0.0005982856210968593,0.019887272412851764,3.2967036728948074e-05,4.967906679006216
SRD5A2,1140,0.4706926323867997,0.0001360954824925397,0.013765126193627956,0.00018425564108071057,2.395904118747346
PAQR7,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502184105
SPP1,98,0.4030476034008297,8.63568572972924e-06,0.0019198590872012982,5.0526080874746526e-05,-2.153823697078397
MRPS36,180,0.3373672087186716,6.6794174304133875e-06,0.00013731918042495412,0.00011416643446793273,-3.2294730005628467
SDHC,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
MDH2,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
MDH1B,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
SDHD,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
PDHB,228,0.4071953193078551,0.0001271026153738823,0.0023960037076490273,0.00011648390261065344,-1.2469583892663039
PDHA2,228,0.4071953193078551,0.0001271026153738823,0.0023960037076490273,0.00011648390261065344,-1.2469583892663039
NNT,256,0.40635222990600023,0.0001480781385465099,0.0018151619080001,0.00012111093999145339,-1.2397557368128442
SUCLA2,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
CS,120,0.3357282151288104,0.0,0.00012230632792462333,7.854994407452409e-05,-3.566284286902225
PDHA1,228,0.4071953193078551,0.0001271026153738823,0.0023960037076490273,0.00011648390261065344,-1.2469583892663039
OGDHL,180,0.3373672087186716,6.6794174304133875e-06,0.00013731918042495412,0.00011416643446793273,-3.2294730005628467
DHTKD1,768,0.42301060436244503,0.00026050434723597223,0.0030875231380674286,0.00017692751786668737,0.1688047622822016
IREB2,882,0.4516708091687379,0.000594549570642167,0.006142619064363008,0.00021122964270325895,2.0443024170457806
SDHAF2,336,0.3955259975816203,0.00013554244902988825,0.0016894722552478092,0.00012766676319309056,-1.4082448195916581
ACO1,888,0.44906644700713894,0.000542355928469431,0.004386260406174732,0.00022639542399716106,1.8084515627489925
