node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
ABCA2,224,0.4235766391850477,7.50910124534214e-05,0.003358735020179749,0.000106966939355857,-0.9646229969730161
SST,286,0.4447919499592059,4.840645940990342e-05,0.00569922621592902,0.00011373607115316986,-0.22566906340121318
SRD5A2,1140,0.4706926323867997,0.0001360954824925397,0.013765126193627965,0.00018425564108071057,2.3959041187476173
TGFBR2,6606,0.5134739155460206,0.0024518937747720604,0.04680521055976485,0.00034363503245060656,15.767060142426601
RBBP7,3026,0.4686022635022205,0.0002870912673531606,0.00955631488967387,0.00011727756579205106,2.8546709353944117
SPP1,98,0.4030476034008297,8.635685729729238e-06,0.0019198590872012984,5.052608087652288e-05,-2.153823697065517
HMGB2,2508,0.4823061043939841,0.001088654326345652,0.019676058635107407,0.00022609372115134363,6.212281758178406
LOX,4126,0.48325618043927904,0.0005982856210968591,0.019887272412851754,3.2967036728948074e-05,4.967906679006528
DAB2,2868,0.48993958759798295,0.0005960561391446052,0.02382984404567212,0.0001592454277403732,5.658804473696279
PAQR8,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502180566
GNRH1,48,0.38456715131089075,2.406982777005476e-06,0.0009770753380548205,2.9562851951325797e-05,-2.8352992761966
PPP1R9B,2786,0.48910930568708566,0.00038255346004193277,0.02052418702589562,0.0001760856492758478,4.944367413601163
ACTA1,242,0.42326604554865427,1.1957865345321897e-05,0.003449086760734457,8.589357293331545e-05,-1.2170485798928279
ACR,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502180566
PAQR7,30,0.3620498819362456,0.0,0.00046366349343381595,2.1564481308189443e-05,-3.4353619502180566
IDH1,382,0.4002039151712887,0.0004368712011153841,0.0018597200312470404,0.00018799179591511006,-0.2732009201310081
GSR,180,0.4238144597045867,3.311722919656896e-05,0.003635152578957203,8.260789300251759e-05,-1.2066551484603114
SLC7A11,2062,0.4877236580516899,0.0006403463083864437,0.017416969088164317,0.00027911199120467245,5.336701385843424
GSTA1,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GLRX2,204,0.4141380037982697,1.886594597415223e-05,0.002653704177322511,8.238495387047351e-05,-1.531290252201147
SOD1,3870,0.5014051402585458,0.0019438104867583275,0.03122392696408575,0.00017629003021113476,9.976160513490864
GPX1,4066,0.49603194662083605,0.001016054908658258,0.026415292863693866,4.1050638275308415e-05,6.760146497095841
MMACHC,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GSTM3,672,0.42543137084886845,3.3871941220446175e-05,0.0033545560295898213,0.00014511569422381854,-0.4588423315474521
NAT8,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
G6PD,414,0.45474767134714306,0.00025976076116223295,0.006850648329802189,0.0001536535356372326,0.8662699992665435
GSTO2,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
DPEP1,634,0.4444494768784818,8.043887149342311e-05,0.006022174787399373,0.00015748070132204361,0.3855505857528177
GSTM2,74,0.37698809066461775,8.968066402274027e-06,0.0009227330436556618,4.692927999805363e-05,-2.8490326647346302
ARL6IP5,576,0.4379044134053282,5.364763265077657e-05,0.00450655090867553,0.00014241166506678837,-0.11136660334184319
GSTO1,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GSTP1,2112,0.48447296963712666,0.00045721562375395074,0.01760878007944283,0.000230875314368717,4.637203552657967
HAGH,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GSTA2,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GLO1,188,0.41644033271091496,2.4390928606386662e-05,0.0028219972649455977,7.674332049489863e-05,-1.5038055317803751
CTNS,766,0.45113093048915043,0.00012431327680538905,0.0062978278450965,0.00019142338877742304,0.9587744623551524
GSTM1,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
GSTK1,48,0.3588065377161871,0.0,0.0004793407580178046,3.4873704565896446e-05,-3.396461633220984
SOD2,4290,0.5045244215938304,0.0025427869724610193,0.03338624389005947,0.00010607441947207974,11.164321091832385
GPX4,2320,0.4553596287703016,0.00012146130015873952,0.00924120569109666,0.00012101258460361919,1.8252590016210688
COL9A3,870,0.4353593611357586,0.0005445629368125551,0.005820933976733621,0.00017294559636482632,1.296093091872487
FSHR,2288,0.4641032917139614,3.551376492101816e-05,0.013096013081554461,5.477656941899056e-05,1.7866792080501028
AMHR2,1442,0.46511517679400893,3.0031635201024396e-05,0.013561687314145131,0.00016269454018491558,2.0914078870115813
CSMD1,1132,0.4582944143470951,3.671164122778637e-05,0.009660793362957365,0.0001722540422708363,1.406435118007086
