node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
AKT3,1150,0.4651257833076015,3.7645941821552214e-05,0.011783299982321737,0.00013977560944766765,1.691189060466131
LEP,7702,0.5198436865611044,0.002471337886936157,0.0482739172185737,0.0004881393815043822,18.39870223138215
HDAC3,4312,0.49827309432310163,0.001228613975753984,0.022781994727293524,6.843117094845752e-05,7.361563721231227
GAS6,4358,0.5088172470319408,0.0010421716107174928,0.038614035970733596,1.4841105828722334e-05,8.621057404765464
FLCN,6536,0.5106945206162437,0.0020369005667369815,0.037855393102455365,0.0002606502970863289,13.733693744075099
SMCR8,1460,0.47148446490218643,0.00010700841984804834,0.008643207030854928,0.00020763186890526697,2.3189014824476355
LIN28A,910,0.4717667649226234,0.00029955766294442645,0.010260521403812893,0.00022818168109672854,2.688307628109335
FNIP1,1938,0.4754676693125377,0.00010451049967958707,0.015225072131631899,0.00014160248739258918,2.9333437617491365
LAMTOR3,110,0.3998828811243412,2.676032475955695e-07,0.0017391659598211514,4.874204064364562e-05,-2.232373254845957
GOLPH3,702,0.4635890472957683,0.0004960703845672447,0.007308011880826535,0.00021813007619009284,2.3557605535706285
MLST8,4992,0.49629342506904406,0.0005543851693139242,0.028018125518506753,0.0001429653147120291,7.60342113571999
PIK3CA,6570,0.5064524103831891,0.002301570641065273,0.04024297154454727,0.0002872520649788157,14.645853807588717
LARS1,450,0.43170228010283646,5.996403985836277e-06,0.004232733752245005,0.00011533215738701585,-0.5485141640989852
XBP1,9776,0.5294360882824211,0.005098861528725111,0.05555627028659585,0.0007425163811376478,27.72148541604363
WDR24,1402,0.46919518116439923,0.00015596804635588396,0.009905939775054095,0.00023611073583396092,2.6871215312406993
RRAGB,916,0.45838181329991945,4.3690339739410375e-05,0.008223594530048537,0.00018313481663945197,1.344683432019048
MIOS,192,0.41650063026064327,1.383963698724253e-05,0.002354135406679334,8.464746969849557e-05,-1.461103248653782
RICTOR,4368,0.4952376347725185,0.0006175937183184938,0.025233582979822686,3.902337259020783e-05,6.206344778706347
RRAGA,1250,0.4732052111244572,0.00013301918587719933,0.012897808857441321,0.00020915988508996008,2.7622285830975253
LAMTOR5,446,0.4539531997872718,2.1019533851801026e-05,0.007480161966133949,0.00011817288676496673,0.3336991943372214
RELN,5632,0.4979339847357931,0.0008536685530101145,0.03085060008060313,0.00029398419867199266,10.085416652203907
RRAGC,1348,0.47511480124310035,0.0003630710174601795,0.01275807309140246,0.00023370117197174523,3.4786850610930475
WDR59,166,0.4055991130118001,6.6218916464228664e-06,0.0019208736440018464,7.600311274202909e-05,-1.8360584852245285
LAMTOR1,1152,0.45680774205057306,0.0001885167024070868,0.005469978494348701,0.00023442093393200025,1.8207872562432654
LAMTOR2,892,0.4445746527777778,2.0966881711392837e-05,0.004494206143439539,0.00017802658420862372,0.5370430532448132
RPTOR,6234,0.5061020801422995,0.0010021052759559574,0.03354153687624378,0.00029783456150234144,11.253178540837867
SLC38A9,322,0.421713532874964,2.001250320099069e-06,0.0032454041217471453,9.113123757487074e-05,-1.1427730474250382
LAMTOR4,202,0.41247533523939917,2.0313206924755125e-06,0.002418087245368839,7.573543033956298e-05,-1.6233405488167314
HTR6,66,0.3932506622643683,0.0,0.0014822022635285533,3.299122798239296e-05,-2.5494755453205302
SEC13,2142,0.45854597546781267,0.00013978423828635056,0.006789436430580964,0.00016425255542706907,1.998657478360332
RHEB,644,0.45544686527345485,0.00016310278548289686,0.007116417843287889,0.00016985238207922748,1.116458146505336
SEH1L,834,0.44752708843061867,0.00011166056957986988,0.004896681626932535,0.00020711652583038642,1.0045453408343843
RRAGD,636,0.4528293545534925,1.880773234477897e-05,0.0064758211360564704,0.00015904382125242478,0.6239511126355534
TREM2,8376,0.5147494848987386,0.004632483089936941,0.04581178176759222,0.0007347549491285577,24.481413560742837
PHOX2B,1904,0.47907020251625276,0.00022819313641132312,0.015563769454515574,0.00020618705544350746,3.756599477299431
PRKAA1,5392,0.5093485827946296,0.0023240607076579203,0.03309543533726602,0.00011287538498905292,11.879609412346557
IL10,4668,0.5052034525277436,0.000763554467344928,0.03560578028267528,2.8170209661837475e-05,7.966964724730041
GCG,2034,0.4882501549168216,0.0005623958108496766,0.018895722673944817,0.00018388450045492277,4.87963542115937
EDN1,7456,0.5171142972536349,0.0017145956832405364,0.05361380159113102,0.0005949049092475178,18.141382840981315
GCLM,942,0.47268112598061834,8.38623818096052e-05,0.01396238408614345,0.00017342662615149607,2.310005421837298
ADIPOQ,5902,0.5129964441328192,0.0016065453601589422,0.040203173990146994,0.00012064192837257792,11.751119258533906
IL6,6466,0.5111277445109781,0.0013071213830791887,0.04427867235630583,0.00031849802397054816,13.454308435111248
FOS,6186,0.50495439980281,0.0010213009618547117,0.035430799732893946,0.0003527561688212444,11.866271487137299
SLC25A25,1898,0.4565227080269198,3.143687091600841e-05,0.0075657213015853314,9.829779280146056e-05,1.1782624319739405
SMTNL1,238,0.42281020391315116,4.6056450778210785e-06,0.004361853025029021,7.661370443123872e-05,-1.1528096349625483
MMP2,4212,0.5002930546058415,0.0010305959862425937,0.03453688987993597,2.4081353389604487e-05,7.940196488259122
ITGB3,8172,0.5117661753684737,0.0015006945111801,0.046229407926710375,0.0006420315619717343,17.59720834694287
ALAD,550,0.45288941946323563,5.865335927951754e-05,0.006777269902077837,0.00013298204969203198,0.48311252151200523
TNF,14586,0.5409844723777332,0.006096808917115834,0.07299458837250888,0.0020111706126684226,44.53512159438043
CRY1,2422,0.4820915894008566,0.00034041605682191633,0.015253984357757207,0.00019941016635804942,4.275601340131657
COL4A2,1968,0.475600130008822,0.0001178616740952904,0.017867859056728785,0.00013415365314095595,3.2203159205346985
ANGPT2,1652,0.483662291056757,0.00019642455743640243,0.019530964497822573,0.0002009034267249632,4.03872566114456
MAS1,2598,0.48641846329186056,0.00019619964792365766,0.018733573921605316,0.00016568141820094695,4.332867842443873
CYBA,2982,0.49490264289510555,0.0004790493228971712,0.03158888272040872,0.0001206494434562444,6.39662702454307
ZEB1,1622,0.47915984469289424,0.0001778151252557507,0.019268806034796766,0.00018801971202186962,3.761335693306621
HADH,1560,0.45597400284900286,2.471423194851858e-05,0.008536815977136528,0.00019572482638530175,1.7929181613499592
FGF21,3144,0.4846463212680388,0.0003046607918987717,0.0191654471247368,0.0001508617677696833,4.782845728779021
BMP6,3424,0.4942578652769736,0.00038715185431079726,0.032414412641046816,3.6324246956098705e-05,5.9334685646559135
CRY2,3198,0.48059869563177404,0.00023733094775975892,0.014573189056326012,9.11133136813902e-05,3.631141492209989
STK11,4970,0.505902108954413,0.00204636305138436,0.031206053448563642,8.711425371465964e-05,10.598514845412994
CAB39,444,0.45425517761319795,1.6189604273221037e-05,0.008101400157848899,0.0001117746021268573,0.35041800572872206
TH,4276,0.49936622464898595,0.0006060460039787473,0.030994879465999766,2.455268203327421e-05,6.749325998045808
UQCRC1,180,0.4111508048007065,0.0,0.0029867378923011372,5.901717895184788e-05,-1.732704920011633
UCP3,1320,0.4642193519147972,0.0001966651092514828,0.010834256915331799,0.0002190119758296305,2.5826995927451892
HSF1,4802,0.5065776458951533,0.0012557950409516868,0.03318870897377984,2.2520748066412466e-05,8.714289753130974
CXCR4,2582,0.48960374743081114,0.0006935799612432566,0.019900479374210786,0.00020834389112955876,5.804302130126485
CBL,3126,0.49077667577020745,0.0012312724820511172,0.022975584214610798,0.00012998431358823836,6.954218807808324
SOD2,4200,0.5066277574438619,0.0017370991289172519,0.03378416078011192,7.94523803673286e-05,9.765098744679403
SCO2,216,0.4202084017065967,1.2898580052350328e-05,0.003384903116562869,7.313778987771968e-05,-1.3416621532220308
BGLAP,2388,0.48152500940203086,0.0004097724549705036,0.018787218271507033,0.00021351803301250527,4.8796688468149085
PPARD,7274,0.5090195298911693,0.0013418923402165328,0.04205057969870171,0.0006152811852739859,15.996620232981194
GCLC,2126,0.4916482672554478,0.000338688604722807,0.022957502020224382,0.00020074545103376806,5.162286693949859
OXT,3062,0.487228273795367,0.0004898287944955349,0.023088107716257987,0.0001630916011343686,5.67571706301018
CAT,2908,0.48655709671290137,0.0002672982455289999,0.024725721526409,7.219449402029454e-05,4.626930739118991
CDK1,4840,0.5075063171976416,0.0021505205460691464,0.03432949747755229,1.4591093487226203e-05,10.548882872957712
TPH2,902,0.452509277257466,2.5309342247059494e-05,0.008808648188271394,0.00016074882049110784,1.0714335692625214
KL,828,0.4523893648970939,2.4073159978544844e-05,0.008922986885812719,0.00014680191761584638,0.9265499743835212
OXCT1,508,0.4461431247005532,3.61663391882144e-05,0.00674695841079932,0.0001373355473397453,0.3007126449979101
MAP3K8,1112,0.44705831005586594,5.856817372933287e-06,0.007794736924261136,0.00013349532669693076,0.7293127413326382
CSK,1988,0.46669400400947697,2.901420813116453e-05,0.013297965163480946,9.556113621833617e-05,2.066954814182538
ICOS,240,0.4083479508850263,3.845702202994768e-05,0.0024238473623122625,9.773720163330779e-05,-1.4481191013564114
