node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
SHROOM3,1572,0.45559637960390714,5.74398524993084e-05,0.007514262334092594,0.00017208769558685333,1.410653659309775
BMP5,2606,0.47636448817053173,0.00017101079916441144,0.01991144930126351,0.00010042852275482517,3.60488010795514
SYNGAP1,3234,0.48627450980392156,0.0004119247000198901,0.017250646417536823,0.00017269450053980506,4.803703694347063
SIX1,3566,0.4918730650154799,0.0006435218900625361,0.024345709376620676,0.00011767690611286241,6.006721659368198
MID1,238,0.41721718435845884,1.5242618053959395e-05,0.002898472873530429,9.525910373042734e-05,-1.26406208617772
ZIC1,1398,0.46803222094361335,8.43548612778747e-05,0.010697680287156714,0.0001859779661685934,2.069597213789006
FOXJ1,862,0.4540096445793892,9.867906068599118e-05,0.008419750448712815,0.00020177009066202345,1.3340472836795598
TBX5,2334,0.46588774341351663,0.00011216962208065307,0.015235018458124671,0.00011251579782545207,2.6641787282901586
DCHS1,1978,0.47505139226312837,0.00031793075784107566,0.01468650652279992,0.00025695396995217834,3.90391999360171
UNCX,196,0.4085831391143615,3.788817039869263e-06,0.002593699746835113,7.68867548313068e-05,-1.6439479783052404
APC2,832,0.46285506190823017,0.00018246328162198035,0.008865881472429622,0.00021255512645623753,1.7831147644467547
GRHL3,4242,0.477191665102309,0.00017130426053656164,0.015341106026978177,0.00016316902834034863,4.460766791574822
RFNG,1754,0.4641015107946506,7.58396579463838e-05,0.010441698939738136,0.00021042407179017175,2.304231371456964
ZEB1,2836,0.48354574852577514,0.00041421953517340105,0.023147205678631426,0.00018704156600968247,5.27251041819414
HOXB1,430,0.41184333103811416,5.244627730767032e-06,0.004145893378717029,0.0001267746471906861,-0.9443063119444438
RAX,138,0.39593473774385735,1.049101340676678e-06,0.001742331747009041,5.8204264602679245e-05,-2.1644863318024736
SHH,13078,0.5239076669414674,0.0037429954137962094,0.05179132729232561,0.0016578283807984207,31.060846199261718
TBX1,7242,0.5036655438874579,0.001268777507632568,0.037736040818425326,0.0004536584737966365,13.238539698819904
SOSTDC1,1212,0.45670140136543297,0.00010135144298940742,0.011538723064054901,0.00017597101426325423,1.785634436910911
ASPH,2692,0.48894018080400076,0.00047997529241501034,0.0201749872719002,0.0001894213810853529,5.110369725287025
ALX3,388,0.40850106464183844,2.1030517040425015e-06,0.003515056936205307,9.611508320439555e-05,-1.3113512280127706
MFNG,780,0.4586584870765483,2.4721993204297227e-05,0.00786716729884558,0.0001535307541509212,0.8731693884444827
HOXD12,116,0.38066714087828984,0.0,0.0011625740165776956,5.0691671551916784e-05,-2.614510089536938
LHX1,2628,0.477146879399343,0.00030938340741067317,0.018529358847873614,0.0001492309783319712,4.055635520572274
GLI2,3776,0.4892695601963237,0.0005665015585878028,0.02400725397685503,8.303335558856872e-05,5.667332218269479
APC,2476,0.49566149946378085,0.0019457980764907548,0.01893158080445023,0.0003521758382412088,8.840605840726816
RNF111,598,0.4446971353597201,1.968973793538162e-05,0.005859652217984814,0.00014597784455361307,0.18939026886334454
NRG3,1352,0.46121745441349904,0.00012251165908052665,0.008189404481096398,0.00024934577875157515,2.094051022754551
FST,2312,0.46708622352887136,9.394797177491955e-05,0.015205052839067031,0.00011274338146094465,2.639737506902134
EYA1,3472,0.48969370063571566,0.0010329186651556336,0.024259428108748995,0.00014457940308965078,6.816092197582496
CDKN1B,5450,0.5074865242563386,0.002676491952907622,0.03276547167747765,6.06338063793288e-05,11.92238326556199
KCNK2,1792,0.47768486329042564,9.274628321131559e-05,0.01730160750170407,0.00018246865816173852,3.2379689208034956
LRP1,2116,0.4882124165746387,0.0005703736183525894,0.018138614859042404,0.00026585225878683616,5.1915666036862955
PDX1,4144,0.49607259598965703,0.0009460356408402891,0.027309570395651614,0.00012392145424300338,7.385685004592769
HBG1,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
SLFN11,508,0.4417796315606535,8.928922449907304e-05,0.004147260932199999,0.00016305348223433214,0.125632594637096
PRR7,550,0.44126198845636416,9.666491941143422e-06,0.004368893573575523,0.00012984444699348785,-0.2004294290975622
CIDEB,854,0.45822442541685443,5.6771764501116834e-05,0.00856123027989598,0.00017387447499928044,1.1761125843951594
HPR,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
NOD1,2328,0.48187289701909863,0.00026032806836389185,0.021065676178298076,0.00022529338514054587,4.655630706140247
HP,608,0.4454569350740384,9.492224368631333e-05,0.006141637562002262,0.00017972313887426594,0.6023457311945659
MT3,2904,0.4899296521152549,0.00030205555539428223,0.02342501874220181,0.0001359428934630813,4.937128349168842
CELF1,1466,0.461363945732565,0.0005660708421193322,0.007808858158670685,0.000284889434958302,3.1995890638068114
DNMT3A,2926,0.4831551437396056,0.00025352745400574725,0.017875603952480005,9.51390439976052e-05,3.830683752099837
CALCR,1156,0.45793550711583497,0.00011406190133700409,0.010304733337849441,0.00020049127333621186,1.8210576827509
HBE1,264,0.42471074725366526,9.746073857899615e-06,0.003913641653154355,9.794332733470412e-05,-0.9702319578190177
UCP2,1960,0.48260477478760266,0.0005508482793183422,0.01999511294578434,0.0002760220446997863,5.218144964540436
ACER2,1598,0.4784716013364077,0.00016330429142830395,0.013678179822156262,0.0002413917469681337,3.2455356780485145
RAMP3,1524,0.468744237506915,0.00018385694955154832,0.013667879787114654,0.00022116417966522306,2.906736979948183
HBA1; HBA2,320,0.4287400910777534,4.955126316191183e-06,0.004100528453066354,0.0001037524769245124,-0.8038418100184347
CCN2,8920,0.5100321027287319,0.0012917072258843197,0.04518331327783901,0.0007735956268426492,17.266211175466303
ACOX2,242,0.4194546429602739,1.8195153340431072e-05,0.0027400511276948576,0.00010034033530104125,-1.1942741358045197
FAF1,1236,0.47135175227146303,0.00016380214983156908,0.011107693991815354,0.00023038467748115465,2.5268775789040383
AKR1C3,2552,0.48285687149776807,0.0004694231547457136,0.019498756797383963,0.00019820454071073357,4.860207571425321
ZC3H12A,3682,0.4965571128583289,0.0017539512492121528,0.029488255987580998,9.562240371252528e-05,8.744614119564307
RIPK2,4462,0.4993125122765665,0.0005827570375400539,0.032251253547721674,2.014892437429694e-05,6.8351215933536995
HBB,890,0.46111287469956014,8.79520106186839e-05,0.010650026309697976,0.00019632326554841484,1.6954429769342014
EIF4G1,2808,0.48655373719973205,0.000340873545714729,0.022344388421918816,0.00013705924995477403,4.770387057959836
PHB1,1926,0.47921576020360074,0.0002871883728526196,0.017231905565717187,0.00020477150881603734,3.8561377478965513
NKX3-1,6126,0.505066560699384,0.0007625495260621593,0.03591597540898689,0.0002908916685679941,10.405277525305605
AXIN2,3480,0.48905776537925066,0.0005544135877680535,0.02356360886657047,4.11330767153828e-05,5.1508743837795254
DKK1,2928,0.48851734409532044,0.0005519514185759861,0.021856657703502612,0.00021732719870826145,5.743584805208187
PRODH,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
BMP4,14152,0.5274679670073145,0.0036248929796135754,0.06015532838963822,0.001973637286971197,34.48349990607309
KATNB1,326,0.4269219465087962,2.4801818465278687e-05,0.0031393974737565335,0.00012026902713557774,-0.8033723892645049
CD36,4260,0.4941679626749611,0.00205055815504333,0.02555185849440848,5.949094549784206e-05,8.928472687233473
IAPP,1904,0.4831551437396056,0.00032613701438230735,0.017994733541340756,0.0002219321698451182,4.196271576753292
HBZ,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
HBD,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
HBG2,164,0.3996541152425124,0.0,0.0017848666974253082,6.835617688949469e-05,-2.0034632520354108
