node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
GPNMB,702,0.45291233215709636,9.515740233576816e-05,0.00926294441276495,0.00018598041483386396,1.25700408300956
HAND2,4582,0.48780848963474827,0.000259788383635008,0.0293339815368177,0.0001854130091558659,7.022861771334267
CST3,74,0.4056061725355003,2.5628925316401424e-06,0.001877224843559506,3.932454661281781e-05,-2.1226067734219343
THBS4,1820,0.4761973595451479,0.0003402429594010267,0.020490789862997492,0.0001830469663168799,4.1388903916884265
TP53,18628,0.5412376779846659,0.011956393121595417,0.06738262075371491,0.0034870625773901764,65.31107368338857
DDR2,6598,0.4923529118716684,0.00043653912948041093,0.032697095901315296,0.0006731246486193498,12.439822168462783
B2M,2452,0.49225481894705386,0.0019661350896363426,0.019046057156381753,0.00022713195706636213,7.99805924758649
STAT5B,3234,0.4913981702466189,0.0007068946794768445,0.02701770051169819,0.00015074328912945134,6.547408224806526
PRR7,392,0.4360275302214771,1.0400818036493491e-05,0.004223192127456791,0.00012267135415555686,-0.43968507535785445
IL7R,1848,0.47808630030959753,0.0002839694060714603,0.014880812041803842,0.00023883464689511413,3.8533831281844027
CDK6,2020,0.478479786976519,0.00030196057072319563,0.019050147366836776,0.00017629812561459346,4.0415763480377915
ZBTB1,2772,0.4689887533811038,0.0001600843563934159,0.013552199668038974,8.338932636320351e-05,2.8334245564497373
ADA,2222,0.4814868946701744,0.00038044734687717977,0.02044445936987805,0.00021247930424905803,4.7793192187920965
FZD8,658,0.4503942031627398,9.049960167470437e-06,0.0088015050512773,0.00012189712238530603,0.5315479164972148
PSMB11,228,0.4131861699903842,0.0,0.002379299114248207,7.915984978268398e-05,-1.542365313674928
RIPK3,2014,0.48658362463689625,0.0005933278169682132,0.020775139501725895,0.00021084410642657758,5.165250349771969
BCL2,13460,0.5367986529791973,0.0067888934791807696,0.06714930367398643,0.0018411907113513593,41.19252139542321
GLI3,9276,0.5106437945644311,0.0017348858538694715,0.04296188804928356,0.0010747357619482756,20.801812564505482
RPS6,728,0.4550603186297081,0.0004272099801474519,0.007157867088904159,0.00020944529034139237,1.8529076041023944
CTNNB1,14458,0.5363034512698068,0.00799733397106643,0.06577165540203933,0.0022924015020020505,46.9566237783804
ZFP36L2,2262,0.4856749717430832,0.00036630846806071966,0.02474465873432889,0.00015133970881286984,4.926243277076357
ADAM17,3304,0.4948427798918486,0.0007791411774975229,0.02578868934193138,0.00016775000547220031,6.776890632943203
GBA1,3492,0.5048013075901522,0.0013091026863475135,0.030793728835506212,0.00011003614173255016,8.236530830331125
BCL11B,1812,0.4673034186013523,0.00017397348897865898,0.012353401257571934,0.00016771090703038283,2.6405922123108616
IL2RG,480,0.4475793668765002,5.3314737241882524e-05,0.004713591822166556,0.000140788889293475,0.11483051808341066
FZD7,2142,0.48308730081141854,0.0002926654074424612,0.019739120875639317,0.00017131911629597596,4.242444969401334
TESPA1,258,0.4248925193465176,4.394367945804331e-06,0.002918673136911111,8.811482853410268e-05,-1.1496468004183318
MR1,228,0.4131861699903842,0.0,0.002379299114248207,7.915984978268398e-05,-1.542365313674928
DNAJA3,3092,0.4884594474373548,0.0003861251074598455,0.021010350685712016,0.00013881418438899118,5.062498618467377
MAFB,1484,0.4763121114270567,0.00029520608791544294,0.015643383222381936,0.0002175509693014277,3.539721197723359
FADD,1926,0.48379674955942825,0.00033401197106997936,0.020089657753465426,0.00017898266744253988,4.283300289226702
SHH,12068,0.5248260846476555,0.00407104959857098,0.05427122168264703,0.0017215297417667585,32.83221723009267
RAG2,430,0.43487635307577227,1.7346964623714876e-05,0.0048331942638106355,0.00012838899044531615,-0.3200782366506824
LIG4,6128,0.4980095742000504,0.001370792013646909,0.028041650322695472,0.0003421262180065554,11.195218072349357
ZFP36L1,7806,0.5120725388601036,0.0017664971636945524,0.04495753215790683,0.0007773333213307865,18.131787946296814
WNT1,4196,0.5064050010248001,0.0013654456531918212,0.03588422599040886,1.3000230424609072e-05,8.73308413642611
