node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
CADPS,170,0.39844719254012084,7.735869772712113e-06,0.001499781600350401,9.229368720298226e-05,-1.9276023992286366
BRAF,8646,0.50793326871078,0.001790030962292007,0.04011699246425371,0.0006769262332628756,16.71174340917457
OTOF,40,0.3730515587529976,0.0,0.0006283370850712023,2.670585402952952e-05,-3.0549935691934382
P2RX7,5150,0.509180176954943,0.002474943284500984,0.040441536663233,3.681650425768623e-05,12.02507496553636
SNAPIN,860,0.4612248679699805,0.000194242689641917,0.00685946423698757,0.0002253596435259908,1.573195831533881
CPLX3,40,0.3730515587529976,0.0,0.0006283370850712023,2.670585402952952e-05,-3.0549935691934382
CDK5,6826,0.5264382402707276,0.005929008555074548,0.04591922983038055,0.00012449158062821652,21.056143671855324
RAP1A,380,0.4471190551039655,0.00010430224628066685,0.0057934278850879,0.00011965297534821673,0.04922923473475779
PCLO,192,0.4161859376306329,0.0001935395805333875,0.0020946495597697645,0.00010526421524481577,-1.0452141261433185
RAB3A,2680,0.48537441497659906,0.0011672456162853484,0.01649541623021796,0.000223382066453226,6.0651979223143275
SNCA,5210,0.5093625294177837,0.0024284005984818446,0.03327374434378356,2.8290553570897714e-05,11.125841788871844
STX1A,506,0.4421744537217978,0.00020727540134751892,0.004366011604418494,0.0001910895407242208,0.49682460616521973
CADPS2,170,0.39844719254012084,7.735869772712113e-06,0.001499781600350401,9.229368720298226e-05,-1.9276023992286366
CPLX1,402,0.42671009771986973,0.0002127397565598404,0.003042430696085428,0.00018187486307219558,-0.08407448753905361
CPLX2,160,0.40112812248186946,6.522147527961671e-06,0.001428622154865166,7.396496145695153e-05,-2.000622290617753
DNAJC5,1068,0.44601738195502194,0.0001501954490103461,0.005995390214711943,0.0001743667977880392,0.8842389963922243
PIP5K1C,724,0.45102835915556766,0.00013793314913188034,0.007304654552483775,0.00020674629060657423,1.1062956388530338
SNAP25,794,0.458400478843409,0.00019822828698372295,0.007318669500822274,0.00022011604229099646,1.5007427591557798
RIMS1,326,0.4372611884579911,6.870121760807176e-05,0.004224267873578495,0.0001256335328214675,-0.39509806129345904
CPLX4,40,0.3730515587529976,0.0,0.0006283370850712023,2.670585402952952e-05,-3.0549935691934382
VAMP2,602,0.45598607676101494,0.00015239858007878854,0.007530405449057957,0.00017996048697987987,1.0245652112174901
GRIN2B,1406,0.45873842325945724,8.828092943305488e-05,0.009558696903504242,0.00021526085434864228,1.8860137092914482
MECP2,3776,0.4973772293550482,0.0015137532460177642,0.024257338926942238,0.00018185372930190624,8.23464504232322
SYT12,446,0.4395196892106657,1.4939549934559161e-05,0.005552729097422432,0.00013447721153703185,-0.17474999736922772
PRRT1,744,0.4385323525525261,1.6995366923100694e-05,0.004522409002166776,0.00018236174110519698,0.1673263321057598
MPP2,246,0.4054406255090406,0.0,0.0020226757640403248,8.151438967018976e-05,-1.758179744855614
MAPK1,4628,0.5056373793803961,0.0017015336219467442,0.031368081453563554,3.268341520445972e-05,9.143365409633995
SHANK2,1616,0.47220641244545625,0.0001550173755800416,0.01209902766098169,0.000253942915362515,2.941977044197854
SLC24A2,920,0.44627728719350934,0.00013515391209428115,0.00730359461822323,0.00023054268618061258,1.2652424990220124
LRRTM1,1124,0.4619310536816221,0.00010052336892670058,0.009464597636594275,0.00023165830252480646,1.8982156168035895
GFAP,1636,0.46809911138276367,5.939735984542731e-05,0.010602055655118353,0.00021720881199449593,2.2938681888771693
SLC1A1,2780,0.491193448122749,0.0009520125981181525,0.019145582336657484,0.00026424351910847577,6.3886097069557835
GIP,1062,0.4765004307456686,0.00014300534080617707,0.013530501613504572,0.00021060740030343084,2.570227002709606
DRD1,3578,0.4871556490678671,0.0011275442563678927,0.01932467634747407,0.00019459321866399648,6.702240360627119
GRIN2A,3904,0.49468349398787637,0.0007875072433102013,0.0231600603265173,0.00018429178772194632,6.77756603077808
ITPR3,554,0.4360928602715725,2.5940826962631306e-06,0.005127984755761349,0.0001392391207843957,-0.2233354202071669
NPTN,1614,0.4581051856623568,0.00013568695002251404,0.009865342055927083,0.0002512641510303837,2.3428693059585384
PTK2B,12088,0.5269676599798867,0.0038361323074438823,0.05685183889255599,0.0016257991255379522,30.749263868436667
STX3,968,0.46128897743594494,0.00014226465524877607,0.009246802899193822,0.00020724324710030828,1.6952443575481522
RELN,7066,0.49867267718507385,0.000836381765331317,0.03117991670396419,0.0007223533750124744,13.058377475695881
GRIN2D,886,0.45812626541505613,9.672724681414066e-05,0.008602381523580008,0.0002020540983949104,1.3900935819481082
SLC24A1,900,0.4476417427273954,1.839986915281623e-05,0.007645246306678902,0.00020361363562493295,0.9335803955715745
TNR,2968,0.4785848194971879,0.00030327545698099047,0.01593766270438408,0.00017518203375388453,4.105623224549411
PRKCG,2366,0.4887099941095621,0.001113603323240351,0.016150353061829555,0.0002611763483439944,6.04107957651861
NTRK2,8406,0.49892257579553995,0.0007234202885239397,0.032509393287253684,0.0009355443553928922,15.115645591347896
SLC8A3,4238,0.49394721174836276,0.00045542727244317246,0.024885636545905553,5.42858218324227e-05,5.72538855816785
STX4,1270,0.47328389427647843,0.00029497464449553847,0.012758471549979831,0.00024285369856791306,3.0267168588870534
PTEN,10040,0.5272188095742427,0.006582297678366811,0.054339461371480366,0.0006672809959926695,28.514527591392568
SLC8A2,2852,0.48837437457078386,0.0005123924937271456,0.019510556810138798,0.0002557026548650754,5.53120288897459
RGS14,2420,0.4865604535236047,0.0011195944468746853,0.015614505573429575,0.00027796590190298787,6.083456688414301
ARC,1722,0.48199070487993806,0.0007893121905330487,0.013635555992863752,0.00028051627671388246,4.742394270897216
GRIN2C,1742,0.4742307325902639,0.00021391392960288874,0.013510961660572906,0.000239274938515166,3.2376967806420245
SERPINE2,1614,0.4781251500744369,0.0002097441606092787,0.011788143556229513,0.0002461908976396643,3.085804997082401
CRHR2,278,0.4089714097929675,2.8852189028988606e-05,0.002185291215988872,9.63001462768176e-05,-1.5011249540434601
PLK2,3230,0.4938247110758395,0.0006188518129758673,0.022614289391333833,0.00021924521539240516,6.1932713282625445
NR2E1,3976,0.4899606299212598,0.00034803916637855147,0.024327325695254365,1.9315586309076593e-05,5.004440835378071
NOG,7650,0.5027267218743688,0.0011870464107727723,0.038616125100047,0.0005812515816217001,14.111812658271939
NFATC4,2908,0.4851615418351932,0.0003151199679068997,0.0194914551533519,9.400400313097634e-05,4.125109548465001
PRKCZ,1248,0.48073394495412847,0.0004442574348003315,0.016669143233897187,0.0002464179786496601,3.909234129994824
ABL1,20152,0.5480869804569226,0.012263281971142214,0.07336051622042351,0.003608790150458674,65.98728285786618
IL15,2182,0.4831602445889547,0.0002566353340672308,0.020817870388501945,0.00015291770504255453,4.049977364897615
CCR2,6146,0.5075707366811114,0.0018765758094339245,0.036797247958446445,3.6907493774052114e-05,11.052791652507095
METTL3,1284,0.47117841930903925,0.00023467088213523476,0.009469117812120847,0.00025420407959231284,2.5807281625343816
TBX21,154,0.42058127745860086,4.811603795955046e-06,0.0024197356361593254,6.545919645795095e-05,-1.5410695270293162
CD2,632,0.44589752776782515,5.622232381979127e-05,0.009412759602229967,0.00017848622542082637,0.8498803421485622
SPINK5,1516,0.46479925303454717,0.00010830945168053486,0.009738089327652496,0.00022490469366687194,2.1963265703366233
CYP26B1,1632,0.4631343908452342,0.0008575325484542635,0.010755120360851071,0.00023020195791723097,3.789938928542048
SLC46A2,770,0.43770333245405785,8.481655296372597e-06,0.004685529509131659,0.00011658490763544194,-0.23834832382659216
CARD11,1624,0.4666291713535808,0.0001334383217338651,0.011914013303679487,0.00022095976616043345,2.5647955624184555
CRTAM,498,0.4499480272969675,8.465400180599186e-05,0.008247802581407046,0.00016160720489821756,0.6744741384610757
PRELID1,78,0.37510360937382264,0.0,0.0006356497779568453,3.931785423993972e-05,-2.910537109475116
HLA-DOA,142,0.39278810115595536,4.8458149220831684e-06,0.0014955808212864985,6.930751948708291e-05,-2.210940147551728
B2M,2224,0.4858007221625842,0.0005365363870505976,0.01802675039294816,0.00021931893940063674,4.757326612412821
STAT5B,2970,0.4902018709995076,0.00044621690341833383,0.022776165286996074,0.00015508235972383488,5.258162444534855
