node,weight,closeness_centrality,betweenness_centrality,eigenvector_centrality,effect_on_entropy,ls_score
CADPS,170,0.39771303258145363,7.4950557951908e-06,0.0014336568854475084,8.830283077010392e-05,-1.9305033324261267
BRAF,9760,0.5085373791998398,0.001883333623704434,0.03947915420910938,0.0009698333296235262,20.001748295922244
OTOF,40,0.3731628453850676,0.0,0.0006196329922569432,2.619605840337158e-05,-3.060284008632494
P2RX7,7036,0.5154806618617399,0.003926342073036385,0.04313355208370792,0.00028020172815779176,17.886421696674496
SNAPIN,738,0.4452628348458942,5.008999932669423e-05,0.004587054006066249,0.0001729777549250855,0.4273336085954925
CPLX3,40,0.3731628453850676,0.0,0.0006196329922569432,2.619605840337158e-05,-3.060284008632494
CDK5,7358,0.5245055001807571,0.004540366097438487,0.04377842888432185,0.0002837997992823915,19.499283113432966
RAP1A,142,0.43359091491269264,2.091128875370762e-05,0.0032847457272718785,5.996906745409092e-05,-1.1616243174266998
PCLO,104,0.3785173866050464,8.564201773607367e-05,0.0007050761782298027,6.81218603588718e-05,-2.44997001536669
RAB3A,1882,0.48384945212005714,0.0008696303286910547,0.014872919834087566,0.0002681308071696975,5.246930168023089
SNCA,6752,0.5140196376151432,0.002974532000016996,0.038791611307784454,0.0002702285069187127,15.373997445570904
STX1A,362,0.43068572155548956,0.00014843754550881132,0.0032714086165604823,0.00014466880197439025,-0.2663984522675348
CADPS2,170,0.39771303258145363,7.4950557951908e-06,0.0014336568854475084,8.830283077010392e-05,-1.9305033324261267
CPLX1,334,0.40798618085405536,0.00014433503037316188,0.0019080109770545305,0.00015781782895274432,-0.8269635672784706
CPLX2,80,0.3980091703570169,6.817149910307456e-06,0.001367608523344084,4.426459757311818e-05,-2.293773179256605
DNAJC5,1322,0.44726295855903464,8.749122058538846e-05,0.005803532236689767,0.00014025635978143214,0.7967707340618894
PIP5K1C,596,0.4488641386016088,0.0001793871720614119,0.007421103289726631,0.00019644634150672857,1.136215008710272
SNAP25,1048,0.46052691243821703,0.00021255743463530482,0.007132170013144562,0.00024163400573407046,1.9956723155889815
RIMS1,260,0.42913884898166144,1.5272129460960966e-05,0.003752483861452579,9.762861908946263e-05,-0.8798426545945197
CPLX4,40,0.3731628453850676,0.0,0.0006196329922569433,2.619605840337158e-05,-3.060284008632494
VAMP2,1678,0.46795373911440813,0.00030531327331244774,0.010518480217775229,0.00021837622231402065,2.9168540512381
GRIN2B,1482,0.4678675081770857,0.00012141022484213215,0.010955760513166086,0.00021096146378063452,2.4550987120853107
MECP2,3798,0.49884571933788496,0.0010137771749418672,0.02431753470570041,0.00017029558441805648,7.3506391836463125
SYT12,384,0.433998547070638,7.783562906392878e-06,0.004534130106137988,0.00011768510199061666,-0.4903869024347199
PRRT1,578,0.435487329016766,1.6970761197147525e-05,0.004349926886709735,0.0001572573772801178,-0.07064548815154073
MPP2,246,0.4007418221994239,0.0,0.0019267736482095124,8.034399279210902e-05,-1.835637986178231
MAPK1,5802,0.506862304736238,0.0017572510922924526,0.031200914980528117,0.00017899600363868728,10.923417619940958
SHANK2,1434,0.467350789195159,0.000126324562576792,0.010625814823058934,0.0002404577103725103,2.5931782013667855
SLC24A2,340,0.42246256239600666,6.206438449049613e-06,0.0033974119866457884,0.00010890296150734002,-0.9495142128808632
LRRTM1,906,0.45244353365705886,6.113395621129856e-05,0.0072022937617687985,0.0002122608002252946,1.26477080278598
GFAP,1964,0.4721305378643485,7.87228364672085e-05,0.011112675504373122,0.0002054519431560209,2.73411930117846
SLC1A1,2572,0.49514894446882163,0.0006816861988876634,0.020033419994542712,0.0002601935250776677,6.072016026945892
GIP,1666,0.4810306446265334,0.00045833115649117405,0.017988993091433276,0.00026597710672504604,4.6320187444291046
DRD1,3410,0.4885745898879107,0.0009058569233787669,0.019477036943502557,0.00020080344271811157,6.375268444392744
GRIN2A,3818,0.4948112058465286,0.0008163792756552653,0.02302775138412416,0.00016820237034842478,6.755128495991802
ITPR3,400,0.43657309891243606,3.373447671981703e-06,0.004994311433450723,0.0001138131041127366,-0.4105695361795163
NPTN,910,0.44645683136979075,6.829468773342047e-05,0.005187401566466805,0.0001791036420364378,0.6989390730160714
PTK2B,11092,0.5246680787312084,0.0033562088178421003,0.05592470378181531,0.001249656472507965,27.644294353749494
STX3,1186,0.4599221085046644,0.00012715513524627202,0.00795221682869598,0.00021029759723845132,1.7814780034194662
RELN,5604,0.4971850981544035,0.000741359995652811,0.029917070901028672,0.0002502714360801406,9.079824732943798
GRIN2D,884,0.4612170753860127,0.00010478602743086706,0.008276137699178902,0.00019763289183138966,1.5339505343925521
SLC24A1,354,0.4269918015556023,2.1981935827675405e-05,0.003651415306226891,0.000113988123032982,-0.7533127564559864
TNR,3174,0.48470386102228796,0.00040280673834888303,0.01607903142089719,0.00018814463171601403,4.7562406703652895
PRKCG,2522,0.48817535089405883,0.0014075652501659118,0.01657781138999892,0.0002424504951363815,6.726225201791767
NTRK2,5860,0.4991399223472748,0.0006808716481289312,0.030655843942975155,0.00030212980720634164,9.606619652939802
SLC8A3,3310,0.4884336074640504,0.000304476590182362,0.020601476213015654,8.065293910952676e-05,4.490714750467607
STX4,1318,0.46501831501831503,0.0001688745439684041,0.008887364836030774,0.00022629724699463338,2.2604018756099107
PTEN,12094,0.5266269121078558,0.0067533294802598,0.053678716963407716,0.001168582983558153,33.74179902124817
SLC8A2,1848,0.4836190476190476,0.00030945701275733904,0.015001968898494174,0.00024372542292638855,4.032073248236015
RGS14,1934,0.47542364947102334,0.0004431724658513929,0.012923799948831896,0.0002466763931820992,3.9473012527578284
ARC,1078,0.4603390445109238,0.00020081864713054255,0.009148737695952716,0.00022091131708812384,2.068925116628205
GRIN2C,1580,0.47486791041286763,0.00022317669051021005,0.013248582340490062,0.00022256946691712187,3.1853740063100195
SERPINE2,1654,0.47526791146052694,0.00031642332759067077,0.011585354930294148,0.0002434979008771876,3.3703499720577756
CRHR2,246,0.4007418221994239,0.0,0.0019267736482095124,8.034399279388538e-05,-1.8356379861658552
PLK2,4200,0.4946906965416464,0.0006382234078402202,0.02251332935749854,6.977521969098177e-05,5.909896111220383
NR2E1,3682,0.48928072457484223,0.00037686853495309217,0.02301146109837443,2.7740756348038076e-05,4.765938687115512
NOG,7514,0.5032206917054801,0.0010233650213413022,0.03538073226086007,0.0005410472339022476,13.509518872953109
NFATC4,3496,0.4880580518045077,0.000319493483409159,0.020954919124143417,1.1169032593016937e-05,4.177613615482641
PRKCZ,1652,0.47687467718458,0.00018725024563269376,0.015137828299464712,0.00019753061290117557,3.240878432354099
ABL1,17896,0.5484393563019765,0.012538581681053918,0.07227914474061715,0.0026993816535387793,61.10317429484935
IL15,2298,0.48251615355378186,0.0002974413224981108,0.023858159776397454,0.00015593271739078318,4.634403501784261
CCR2,5674,0.5051982291200319,0.0012759080929181086,0.0361944610650448,2.682039275825332e-05,9.420722072501059
METTL3,1294,0.47644961531244134,0.00053755256897186,0.010686660567381158,0.00025021629133981094,3.533585954414029
TBX21,52,0.3730394857667585,0.0,0.000629702136931322,2.783312053544762e-05,-3.043133986911639
CD2,682,0.44116241692367836,1.9764549112989114e-05,0.008064540513475865,0.0001525832700703944,0.49813501878353195
SPINK5,1858,0.4610914373921729,9.88947432127282e-05,0.009645557315450424,0.0002113768070746147,2.3538872171751866
CYP26B1,1002,0.46052691243821703,0.00022574940742940263,0.009884918168119306,0.00016229643917320402,1.7471037793972015
SLC46A2,716,0.4360295380388116,8.117965749300228e-06,0.004626306760214009,0.00011631938443912304,-0.24712581851142562
CARD11,1158,0.45902824858757063,7.714602267542572e-05,0.011044108610247563,0.00020237221485253087,1.9437354701026144
CRTAM,748,0.44957945993802567,6.516861550440295e-05,0.00839620473558366,0.00017438804820102405,0.9868473494315191
PRELID1,92,0.40412239863117266,2.04080224137414e-06,0.0018386139278257128,4.225689117198783e-05,-2.128706043661305
HLA-DOA,192,0.39559069839909633,4.756252469483888e-06,0.0017311458188453426,9.185983809167908e-05,-1.908803928527851
B2M,4584,0.5044203834310123,0.004341932236721032,0.025317278088036518,0.00020485528562730337,14.435026563341484
STAT5B,4262,0.49577739809616794,0.000655151800871341,0.030136726601025173,3.948963045097287e-05,6.6415503646594525
PRR7,652,0.45979717493661715,2.861906718198141e-05,0.006517888537549175,0.00014686240244188298,0.674243001864397
IL7R,2620,0.481920850336908,0.00044958985130029265,0.015412058415629466,0.00021564122558004328,4.5687764696740585
CDK6,2956,0.485793552090309,0.0004668787639174759,0.01952622177059764,0.00011945267088897538,4.672882208037174
ZBTB1,2684,0.4703811773424112,0.00015529682322518873,0.01285785277530226,0.00012907484910229527,2.9338653383695528
ADA,2450,0.4836190476190476,0.00029482454050996855,0.02038175940562579,0.00017988257630641158,4.522527580629053
FZD8,536,0.44041630529054643,2.643622342293288e-06,0.006280508032316931,0.00010586881059282405,-0.1614579979433897
PSMB11,304,0.41436148510811915,0.0,0.0022936342369224093,8.42346004734651e-05,-1.4474277763339465
RIPK3,2778,0.49183979853745946,0.0006997019099047653,0.02101470998691045,0.00019230797407132627,5.7962600052823445
BCL2,15036,0.5378382672244877,0.007140250022930102,0.06711843646923851,0.0019545512700247514,43.433946321596665
GLI3,7194,0.5090471655556112,0.0014923468551450692,0.03900799978617573,0.00036066339004570125,13.453514190054442
RPS6,1184,0.4715824665676077,0.0006120108986375428,0.008713959217705592,0.00023568554727937396,3.1814703283146777
CTNNB1,12262,0.5281880590805076,0.005205947988494242,0.058398925058724016,0.001537335310732857,34.11538664852362
ZFP36L2,3520,0.486771472392638,0.00030314657442178196,0.023654476843515102,2.2059400079044167e-05,4.512269408381128
ADAM17,4144,0.49650452212173063,0.0007547534212561335,0.026503776993013296,8.114621375909792e-05,6.654265452916077
GBA1,4200,0.5040949024668685,0.0012598924148933264,0.031100082160115856,1.919570418529304e-05,7.861036241191748
BCL11B,1184,0.46632076771201614,7.141898008138016e-05,0.010375948499642637,0.00014734810314287472,1.6435649667626908
IL2RG,900,0.46056868169244025,4.0887287440147744e-05,0.0070718395080266745,0.00017313920999662002,1.1068763765780472
FZD7,2510,0.480598144993375,0.000224965911968197,0.01727897647808984,0.0001660164839876188,3.923177449801845
TESPA1,324,0.4165197063527868,2.0347009639402273e-06,0.002565099320945596,8.851983403168617e-05,-1.3262797642419848
MR1,778,0.44049271339347673,1.364567006312749e-05,0.005145602935056035,0.0001681165858471445,0.31266399480922474
DNAJA3,4356,0.5015060984642734,0.0008099078213965224,0.027224603256615156,2.838462808618658e-05,6.701039579596875
MAFB,1960,0.47676274528213314,0.00020119734668666003,0.014465283998856876,0.00019532705923097637,3.3587220680623315
FADD,2942,0.48965816498722337,0.00033695635185542096,0.023840440679136758,0.00012086155989621261,4.9972662400869154
SHH,10238,0.5203935232629637,0.0037448793573367912,0.050173719701801324,0.0009243493852242324,24.850768037384768
RAG2,526,0.4436484361348943,2.2465668100481618e-05,0.004974502968889685,0.00012963106905949928,-0.043474710002832075
LIG4,6252,0.49745297805642635,0.0011481443138792683,0.025864278140943962,0.0003110455426789116,10.196107543411363
ZFP36L1,9578,0.5112252088996275,0.00106818227171194,0.042930436955941356,0.0010587786177822522,19.449274544915973
WNT1,4832,0.5025732383214568,0.0007787908427447144,0.03214692266006821,8.091900185291934e-05,7.867481473109923
PRKDC,6236,0.510531342683356,0.0023750118841673754,0.029850721967615804,0.0001251810917075602,11.87540588716869
JMJD6,1210,0.4715824665676077,0.00045122426573953635,0.012454391996190509,0.0002205917337185781,3.2128826054093333
FZD5,1580,0.4736498460964462,0.00018259042240520597,0.01598910962358797,0.00019623270281421412,3.2075291170271947
NKAP,1196,0.43912141127637494,9.802794659022611e-06,0.0058621154447159604,0.000146581977714888,0.4577848090610409
NCAPH2,310,0.4171184491539346,1.2944223388193343e-06,0.00233695417814898,8.611690145343687e-05,-1.3657300263510583
RAG1,2754,0.48320487201446377,0.00047241579864525215,0.016119939193631885,0.00015281543257650299,4.359609216440808
RABL3,432,0.4243158554418216,6.738469999292113e-06,0.003177400934499978,0.00011703704371157642,-0.8223777910384985
TP53,20634,0.5386369663219305,0.01079443200592017,0.06459743856625119,0.0036155458760198655,64.84712094266206
MAP2K1,6030,0.4972581276929103,0.0007169529441651916,0.02682265147803981,0.0003783367244647451,9.83868223108438
GRHL2,3428,0.4924121212121212,0.0004397431353720369,0.019828184395596804,9.981725519381257e-05,4.941735267878804
WNT5A,15780,0.5351741581914949,0.004641154978503998,0.07082985845242025,0.0024136248052073483,42.82469975916184
ALDH1A2,4580,0.500517470799862,0.0006345807095169961,0.03036268438204431,7.46824720092576e-05,7.164213232256459
HOXB3,830,0.44245011762655745,2.086099214205983e-05,0.007575979612600651,0.00015063584919339235,0.5478542028908628
SRF,7568,0.5112766814337495,0.0016394557508575206,0.040575664942115126,0.0005393600980792002,15.416355257255915
CHD7,2378,0.4888803311832098,0.00152788103079285,0.019987481508165938,0.00021324111308196336,7.053935760519775
MAP2K2,3854,0.48256200703221513,0.000190792556612073,0.017725737786876933,0.00011583771500944806,4.408417340895473
RARG,4432,0.49510066786915613,0.00047717475649109104,0.02421834463588019,2.621840355843119e-05,5.647459249607412
MAPK3,5742,0.5011596348383913,0.0007903056078158672,0.030674864646586315,0.00033837566013339426,10.034735494113493
ALDH1A3,714,0.4610286440601026,0.00011660418421254075,0.0077684257537580965,0.00019078055002097472,1.3453134826168556
RAF1,8944,0.502101151925644,0.0010978724387794212,0.03387896205452019,0.0009761104409040655,17.3454563377246
BBS4,5180,0.5118951612903225,0.006080057876443628,0.026859704917234384,0.0002517469206040346,18.656711814674114
RARA,6696,0.5113539096722219,0.0012381156578912718,0.03768766091217513,0.0002936548983019094,12.11927692474931
ZIC3,2502,0.4841493063831816,0.0004271592258805313,0.019610603783829488,0.0002023073834234168,4.879231602901428
MKKS,3690,0.5023992085085333,0.002882893217439113,0.022260564047495546,0.0002830060324434669,11.365878653346076
SOX3,356,0.4373062349293834,9.137937029492695e-06,0.00583869641405561,9.498476968516911e-05,-0.4478581860686639
EDNRA,4834,0.5034451990284043,0.001216590519213163,0.032563762738307155,2.698295698877473e-05,8.365846832203088
LMO4,2698,0.4749567413365758,9.479581045653472e-05,0.013268984837422495,6.979033551601788e-05,2.559328318495183
CTC1,2694,0.47768214100935985,0.0001551126632357041,0.014053009761791349,9.747741933274767e-05,3.0058153148869677
SOD1,4702,0.5098137643692586,0.002171619929689103,0.03482694247473972,0.00010688266375069588,10.99228138367438
HAND2,4440,0.48937503011612776,0.00029607187664700154,0.029172469535815187,9.234736272745181e-05,6.212049833499072
TYR,1024,0.4554872852850159,4.6433114309185565e-05,0.006957869422377199,0.00015550140648201705,0.9494987377880947
CACNB4,1390,0.46953305594082295,0.00018545180231102079,0.00903857813594689,0.0001870124795946282,2.171995521595417
SIX1,3164,0.4920542635658915,0.000699709410783079,0.02337133387621582,0.00016319092455674422,6.092845225598063
FOXE1,894,0.4374946153183424,5.398544359514204e-06,0.005958372013221834,0.00010928600803872257,-0.014820838542102838
FGF10,14268,0.5222936487528927,0.002793979101698126,0.056374092060509876,0.002217948526443081,35.259749882788256
PSEN1,8162,0.5241535920726672,0.0059324626514369256,0.048665495889168846,0.00045749546657170015,24.300153047855282
CITED2,8534,0.5109680016099819,0.0017999832365822141,0.04076303416022365,0.0006787288023115678,17.27804808444616
PBX1,4026,0.4862587379105621,0.00046303162101423107,0.02318992384667298,2.2988046085359315e-05,5.05501904505
HOXA3,1824,0.4541633127627225,1.818201163207201e-05,0.010141869749888762,9.731427717163399e-05,1.30011654928173
ASXL1,3064,0.4810078620820309,0.00040504550054669695,0.018905516504885207,0.000147380148582954,4.648579177190262
PRDX2,2356,0.47996219281663516,0.00015670301499022839,0.01686168384677977,0.0001514108766489386,3.543034741664843
GATA3,11374,0.5241535920726672,0.003649308166347887,0.05536867536589834,0.001207048649673581,27.98488791238307
ATM,11522,0.5174240880374974,0.005492386043857822,0.03681853780072607,0.001167961324554767,28.99073050222009
BCL2L11,4610,0.5006161581308227,0.0008473975064922059,0.031495243941420004,3.625649025451594e-05,7.435897164066882
TBX1,5822,0.5080794436940317,0.0016295224558306612,0.03761960659217401,0.0001510836572968799,11.247560164068162
CRKL,6166,0.5090726817042607,0.0013647094175420883,0.037057601249303095,0.0001825779423807461,11.142734951845949
CCNB2,1116,0.4482895608033547,6.520616540851783e-05,0.00585748387491983,0.0001740174342170775,0.8947067411456331
SIX4,1966,0.48037082584429097,0.0002616489726558692,0.016874937674418444,0.00019785143675044026,3.8362024485086974
JARID2,2432,0.47707628711010897,0.0002263081613541103,0.014413686765229472,0.00016656521343527686,3.4888628871917864
HES1,7574,0.5151930198346268,0.0021387970923610815,0.04368353543390052,0.000419414053295597,15.93515139865232
EPHB3,3970,0.481418278346606,0.0003482132132467252,0.020656708685310728,1.8489086635042895e-06,4.277862554069525
TGFBR1,9838,0.5160831343056049,0.0020364535985267483,0.048633698989180324,0.0010327132611216427,21.94979429147623
MAD1L1,766,0.4457122794698499,5.8529003145481395e-05,0.005425642887045966,0.00013666583732963034,0.3098092356476254
ZMPSTE24,3120,0.4940890294332279,0.00041823718805226594,0.020375258107433934,0.00010113400431954744,4.822531400826286
MLF1,446,0.4191671137892608,3.699242947458462e-06,0.0021438637119777365,0.00012514875884228616,-0.9863574678393345
SP3,1676,0.4746016168979859,0.00021113510079856087,0.015565235010641686,0.00021816444993660866,3.4432483448127
KIT,10102,0.5218374267803926,0.005196413899183625,0.04551185660714393,0.0008783341125990773,26.637442952130684
FLT3,5056,0.4802345375449215,0.00016260346899767608,0.020920496458862042,0.0003181975498698364,6.795898288233563
JAM3,1876,0.476695611358836,0.000378911700418991,0.012345737537694173,0.00023395943250292817,3.667350440557352
IHH,4786,0.4936087484811665,0.0005220709059252724,0.0296955097063719,0.0001149416281513993,7.141453793060384
ATP6AP2,1822,0.44856675941875357,0.0001346288894629522,0.006850707596084678,0.00013735632419731303,1.3080195166279267
STRA6,1548,0.4732525629077353,0.00014528087975205264,0.016192845974947127,0.00020081961234730272,3.165838464590636
WNT3,4490,0.484588224067182,0.00022042314149357762,0.021597793524735946,8.6136967729189e-05,5.112909108123221
FLVCR1,1816,0.46990237357146164,0.00021225272907737227,0.01127138593478498,0.00018365322296887143,2.710921355642923
ARHGAP4,334,0.4092685875478541,0.00027332913022480864,0.0023421161260818364,0.0001439264925036099,-0.6102922577497092
HAS1,84,0.4029679006467484,1.1972333040937183e-05,0.002079187104129614,4.1856560461184245e-05,-2.1152823424256764
ITGB1BP1,4150,0.4984295249312917,0.000748828535246002,0.030879834159944712,6.652726148814736e-05,7.074147015540719
CYGB,18,0.36338915128095034,0.0,0.000530482989179018,1.1145504551279828e-05,-3.393049342031224
FGF2,14084,0.5186395669492391,0.002034174857473199,0.05510198281494943,0.00228196542705561,33.97417712304294
HYAL2,2640,0.49392082482248806,0.0005627176203962945,0.027857135467229743,0.00017679699175765506,6.160283778911943
RAC1,3824,0.49153034556190106,0.0010317336640808122,0.025255460466322176,0.00015770390204039586,7.263173907969065
MACIR,1062,0.4381930361996807,1.4788847776921057e-05,0.0064332886303697595,0.00015424480410075603,0.48427101031007713
SLC9A3R1,896,0.47127610208816706,0.0002290741105533346,0.010845272013017338,0.000185285546313807,2.1822039085175917
RSAD2,6,0.3409197717354817,0.0,0.00014937828916057304,4.532257261047334e-06,-3.9595906090716233
SASH3,1460,0.4656366053826051,0.00011993989216786654,0.013548299589465705,0.00020797284685514228,2.661169046976754
ARMC5,222,0.41599082493651185,1.3366787736555468e-05,0.0033670419223839057,8.146059787605964e-05,-1.3372944243597142
PAX8,824,0.45218165627782725,9.032805384972491e-05,0.01037189448885221,0.00016080034297871748,1.259416693969268
EDN1,7416,0.5110194223608735,0.0014650176180379065,0.04753833678678942,0.0005852890700648317,16.09533698289818
THRA,3166,0.486095821567032,0.0002853488091879716,0.01702941281299857,0.00016319540529075027,4.496109404014966
HOXD3,1138,0.4543258477230026,8.417774121489627e-05,0.009898756210008373,0.0001905084922153577,1.6356267848292103
NKX2-1,4722,0.5024240625309192,0.0013747991415471712,0.029295154975525487,3.6383338004597476e-05,8.269683892841664
HESX1,2644,0.48187511861833365,0.00018728965426880256,0.018258049797718195,0.00011727457603250002,3.7305945267221725
SMAD3,12722,0.5234511905989073,0.002713479029132039,0.05503404220656877,0.0017434860799117047,30.75202318983527
TUBB1,492,0.4409134323174438,0.00010102350308926355,0.004794740281226591,0.00012900863017684117,-0.0005877853104357365
FGF8,9032,0.5060541133090837,0.0007892872892145438,0.0392114805034373,0.001013172982323951,17.765268865843964
HOXA5,2396,0.47716594625070474,0.00013627729573724518,0.014977660494883296,0.00014259731072741033,3.198947790488243
CGA,568,0.4361231588439902,3.5654790615081346e-05,0.005500879159635033,0.00013208881368598213,-0.07564616330088689
NKX2-5,3958,0.49291399728208113,0.000547220836213708,0.02801463554120513,5.5654693504436636e-05,6.07544951093361
TG,256,0.416553873918215,8.063382377607776e-07,0.0031184146783957605,6.934484219733861e-05,-1.4404503196424923
GH1,4814,0.48256200703221513,0.00010158888617242838,0.02464743765051614,0.00026253290112343564,6.615174045275825
CLIP3,334,0.44436665937431635,1.2642425181164096e-05,0.005503971023787142,0.00010659203786644866,-0.263208364149915
NR4A3,1606,0.4813270142180095,0.0001783975752154081,0.018539726932457787,0.000152641877960491,3.3573930668517082
C2CD5,72,0.39854020327277007,1.337404740521664e-06,0.0015748074173568367,3.767328228221345e-05,-2.3203470804391557
C3,334,0.44508721185029365,9.416485852692001e-05,0.006193314195907492,0.00012869287358086012,0.13333020601537085
ARRB1,1102,0.4729220023282887,0.00020419362848813743,0.01116220739285131,0.00020765354225815713,2.4856647075260687
LIMK1,688,0.45294799750245296,5.715334798841002e-05,0.006841616131319505,0.00016693191532546336,0.7810256871046396
FHDC1,122,0.3997638260185003,2.5864846363746704e-05,0.001397177474848079,6.171420822020934e-05,-2.0717680894945856
TNFAIP1,156,0.39890023566378635,2.1921872697957924e-06,0.0016336009051218926,6.520919319363827e-05,-2.0623887693226726
PHACTR1,656,0.44518476307368604,2.449199938266681e-05,0.005106446236146961,0.000147200121055846,0.2076348076248442
ELN,1198,0.45339285714285715,0.00016730361051369206,0.008718149984685826,0.00021596274238966373,1.8510250186084554
ZYX,3366,0.4742470231146393,0.00010198826109195093,0.015187757217493212,5.7584156968104594e-05,3.088032101817891
ITGB5,2778,0.4641681901279707,4.3510098050337714e-05,0.01260999994593954,7.80065636316607e-05,2.2703307063921097
PDLIM1,132,0.4079534042980518,2.059041675180803e-06,0.0018263028233323495,5.4151222810716604e-05,-1.9429118658915243
KCTD13,376,0.4146152275974689,2.4754936772509987e-05,0.0027229372680349214,0.00013545845571094617,-0.948370236439939
CUL3,3590,0.49682027198904216,0.001696518336521495,0.01971557927967775,0.00024879701585334146,8.47652568968416
SORBS1,2162,0.4682773884175581,0.0001163446023724113,0.012956312914696361,0.00017618938421648522,2.84375135333744
FAM171A1,68,0.38160366724280453,0.0,0.0009261388151279148,3.29437801074306e-05,-2.78540846409711
SRC,18658,0.5394093902698109,0.008899900661203507,0.06937905987240002,0.0031735711033942238,57.634773771305944
RHOA,6922,0.522159383033419,0.004607173454238143,0.044396065987197746,9.585010881174583e-05,18.07123615588775
FMR1,712,0.46370194502785134,0.0005737175569626834,0.006773917694621846,0.00024312986527696978,2.4975248127932175
